Brands,Type,SKU,MPN,Name,Description,Short description,Categories
Asgard,simple,CA08-AD,CA08-AD,"Asgard 8"" Drywall Angle Box (CA08-AD)","<p><strong>Asgard 8"" Drywall Angle Box (CA08-AD)</strong> provides professional-grade efficiency for applying joint compound to internal corners. This tool is engineered to streamline the finishing process, allowing for consistent, high-volume output that reduces the need for frequent refills during demanding drywall projects.</p><p>Built with a lightweight anodized aluminum body, the unit minimizes operator fatigue while maintaining the structural durability required for daily site use. The precision-engineered stainless steel nose cone ensures a smooth, reliable flow of compound, delivering the professional results expected in high-standard finishing work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Optimized to hold more joint compound than smaller models, increasing productivity by extending the time between pump refills.</li><li><strong>Durable Construction:</strong> Features a rugged, anodized aluminum housing paired with a hardened stainless steel nose cone for long-term wear resistance.</li><li><strong>Professional Ergonomics:</strong> Balanced design allows for precise control and ease of handling during vertical and horizontal corner applications.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard taping tool systems and corner finishing heads.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>CA08-AD</td></tr><tr><td>UPC</td><td>0873876004607</td></tr><tr><td>Tool Size</td><td>8 Inches</td></tr><tr><td>Body Material</td><td>Anodized Aluminum</td></tr><tr><td>Nose Cone Material</td><td>Stainless Steel</td></tr><tr><td>Warranty</td><td>5 Year Limited Warranty</td></tr></tbody></table>","The Asgard 8"" Drywall Angle Box features a high-capacity, lightweight aluminum body and a durable stainless steel nose cone. Designed for professional efficiency, this tool provides consistent compound application for internal corners while maintaining long-term reliability on the job site.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,simple,CFA-AD,CFA-AD,Asgard Angle Head Ball Adapter (CFA-AD),"<p><strong>Asgard Angle Head Ball Adapter (CFA-AD)</strong> serves as the critical link between your angle head and finishing handle, facilitating the precise articulation required for professional drywall corner finishing. This adapter enables multi-directional movement, allowing the tool to maintain consistent contact with internal corners and tight architectural angles. By ensuring optimal tool positioning, it helps produce a smooth, feathered finish while reducing wrist strain during extended use.</p><p>Engineered for the rigors of high-volume job sites, this component is built from durable aluminum to maintain structural integrity under pressure. It integrates seamlessly into your existing taping workflow, providing a secure and reliable connection that supports efficient, high-quality results.</p><p><strong>Features:</strong></p><ul><li><strong>Fluid Articulation:</strong> The ball-joint design provides a superior range of motion, keeping the tool perfectly positioned in complex corners.</li><li><strong>Seamless Integration:</strong> Designed for quick, secure attachment between standard angle heads and compatible finishing handles.</li><li><strong>Professional Durability:</strong> Constructed from robust aluminum to withstand demanding construction environments.</li><li><strong>Ergonomic Operation:</strong> Promotes a natural hand position, significantly reducing fatigue during repetitive finishing tasks.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>Model</td><td>CFA-AD</td></tr><tr><td>Material</td><td>Aluminum</td></tr><tr><td>Compatibility</td><td>Standard Angle Heads, FH-AD, and XH-AD Handles</td></tr><tr><td>Height</td><td>5""</td></tr><tr><td>Width</td><td>1""</td></tr><tr><td>Depth</td><td>1""</td></tr><tr><td>Weight</td><td>0.33 lb</td></tr></tbody></table>","The Asgard Angle Head Ball Adapter (CFA-AD) connects your angle head to a finishing handle, providing the essential articulation needed for smooth, precise, and efficient drywall corner finishing.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,simple,CR01-AD,CR01-AD,Asgard Inside Corner Roller (CR01-AD),"<p><strong>Asgard Inside Corner Roller (CR01-AD)</strong> is a professional-grade tool engineered to streamline drywall finishing by ensuring tape is firmly and accurately embedded into internal 90-degree corners. By applying consistent pressure, this roller effectively eliminates air pockets and excess joint compound from behind the tape, creating a uniform surface prepared for subsequent angle head or finishing passes.</p><p>Built for the demands of daily job-site use, this tool features high-quality stainless steel rollers that provide long-lasting durability and resistance to corrosion. The robust frame is designed for fluid movement, allowing for precise control and reduced physical strain during repetitive tasks. It is an essential component for contractors seeking crisp, professional corner finishes with maximum efficiency.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Embedding:</strong> Ensures deep, uniform contact between tape and compound for a bubble-free finish.</li><li><strong>Durable Construction:</strong> Equipped with premium stainless steel rollers designed to withstand heavy use while maintaining consistent performance.</li><li><strong>Ergonomic Design:</strong> Optimized for fluid movement to minimize wrist fatigue and maximize productivity.</li><li><strong>Efficient Workflow:</strong> Quickly removes excess compound and air, reducing the need for manual touch-ups.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>CR01-AD</td></tr><tr><td>UPC</td><td>873876004591</td></tr><tr><td>Material</td><td>Stainless Steel</td></tr><tr><td>Application</td><td>Drywall Internal Corner Finishing</td></tr><tr><td>Country of Origin</td><td>United States</td></tr></tbody></table>","The Asgard Inside Corner Roller (CR01-AD) is a durable, stainless steel tool designed to quickly and accurately embed drywall tape into internal corners, removing air pockets and excess compound for a professional, crisp finish.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,simple,EHC10-AD,EHC10-AD,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD)","<p><strong>Asgard 10"" MaxxBox Finishing Box (EHC10-AD)</strong> is a high-capacity tool engineered for professional drywall contractors who require consistent, efficient performance on flat seams and butt joints. This finishing box features an optimized reservoir design that holds significantly more joint compound than standard models, allowing for longer runs and fewer trips to the pump. The rugged, anodized aluminum construction ensures long-term durability in demanding job site environments, while the intuitive adjustment dial provides precise control over mud flow and crown settings for a professional-grade finish every time.</p><p>Designed with a pivoting axle, this finishing box automatically compensates for uneven gypsum board surfaces, ensuring uniform compound application even when joints are not perfectly flush. The unit is fully compatible with most major flat box handle brands, making it a versatile addition to any existing professional tool kit. With its focus on an optimal capacity-to-weight ratio, this tool minimizes operator fatigue while maximizing daily output.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Reservoir:</strong> Holds substantially more joint compound than standard boxes, reducing downtime spent on refills.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to uneven surfaces to maintain consistent mud application across flat and butt joints.</li><li><strong>Precision Crown Control:</strong> Features an easy-to-use dial for granular adjustment of mud output, ideal for transitioning between coating stages.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with most major flat box handle brands.</li><li><strong>Durable Construction:</strong> Built with premium-grade, anodized aluminum to withstand heavy-duty job site wear.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>EHC10-AD</td></tr><tr><td>Box Size</td><td>10 inches</td></tr><tr><td>Construction Material</td><td>Anodized Aluminum</td></tr><tr><td>Compatibility</td><td>Universal (fits most major handle brands)</td></tr><tr><td>Application</td><td>Flat seams and butt joints</td></tr></tbody></table>","The Asgard 10"" MaxxBox Finishing Box delivers high-capacity compound storage and precision mud control for efficient, professional-grade drywall finishing on flat seams and butt joints.",Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variable,EZFB-AD,EZFB-AD,Asgard Flat Box,"<p>The Asgard Flat Box series provides precise, consistent joint compound application for base and finish coats on flat joints and corner beads. Available in 7"", 10"", and 12"" widths, these boxes are built from high-grade alloys to ensure longevity in demanding environments. Featuring an integrated dial mechanism for micro-adjustments to mud flow and thumb latches for rapid cleaning, Asgard Flat Boxes offer professional finishers a reliable, easy-to-maintain solution that is compatible with most standard handles.</p><ul><li><strong>Precision Metering:</strong> Integrated dial allows for fine-tuned control of compound output for consistent results.</li><li><strong>Rugged Durability:</strong> Manufactured from high-strength alloys to withstand daily professional use.</li><li><strong>Easy Maintenance:</strong> Quick-access thumb latches allow for fast opening and thorough cleaning.</li><li><strong>Universal Compatibility:</strong> Designed to fit all major brands of flat box handles.</li><li><strong>Available Sizes:</strong> 7"" (EZ07-AD), 10"" (EZ10-AD), and 12"" (EZ12-AD) widths.</li></ul>","Professional-grade Asgard Flat Box available in 7"", 10"", and 12"" sizes. Features precision mud control and universal handle compatibility.",Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ07-AD,EZ07-AD,"Asgard 7"" Flat Box (EZ07-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ10-AD,EZ10-AD,"Asgard 10"" Flat Box (EZ10-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ12-AD,EZ12-AD,"Asgard 12"" Flat Box (EZ12-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,simple,FA01-AD,FA01-AD,Asgard Box Filler Adapter (FA01-AD),"<p><strong>Asgard Box Filler Adapter (FA01-AD)</strong> provides a secure, high-performance interface between your loading pump and various finishing tools. Engineered for professional drywall contractors, this adapter facilitates rapid, clean transfers of joint compound to maintain consistent productivity on residential and commercial job sites. Its robust construction ensures long-term reliability, while the included steel tether prevents loss during operation or transport.</p><p>This adapter is designed for broad compatibility, integrating seamlessly with most industry-standard loading pumps. By streamlining the compound loading process, it reduces manual handling and minimizes leaks, allowing for a more efficient workflow when filling flat boxes, angle boxes, and nail spotters.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Fits securely onto the majority of major drywall loading pump brands.</li><li><strong>Versatile Application:</strong> Enables efficient filling of flat boxes, angle boxes, and nail spotters.</li><li><strong>Durable Construction:</strong> Built to withstand the rigors of daily, heavy-duty professional use.</li><li><strong>Loss Prevention:</strong> Features an integrated steel cable to keep the adapter tethered to the pump.</li><li><strong>Streamlined Workflow:</strong> Reduces downtime and physical effort during compound loading tasks.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FA01-AD</td></tr><tr><td>UPC</td><td>0873876004577</td></tr><tr><td>Compatibility</td><td>Major brand loading pumps</td></tr><tr><td>Primary Use</td><td>Filling flat boxes, angle boxes, and nail spotters</td></tr><tr><td>Includes</td><td>Filler adapter, steel attachment cable</td></tr></tbody></table>","Asgard Box Filler Adapter (FA01-AD) is a durable, professional-grade component that connects your loading pump to flat boxes, angle boxes, and nail spotters. Engineered for universal compatibility, it ensures fast, leak-free compound transfer to keep your drywall finishing workflow moving...",Drywall Finishing Tools > Asgard > Repair Kits & Parts
Asgard,simple,FBHE-AD,FBHE-AD,Asgard Extendable Flat Box Handle (FBHE-AD),"<p><strong>Asgard Extendable Flat Box Handle (FBHE-AD)</strong> provides professional-grade control for drywall finishing, engineered for consistent performance on both walls and ceilings. This handle features a robust telescopic design that adjusts from 41 to 63 inches, eliminating the need for constant height adjustments or stilts during high-reach applications. Its universal mounting plate ensures seamless integration with all major industry-standard flat boxes, making it a versatile addition to any professional tool inventory.</p><p><strong>Features:</strong></p><ul><li><strong>Brake Anywhere Technology:</strong> A specialized braking system allows the flat box to be locked at any angle, significantly reducing mechanical wear compared to traditional pinch-brake designs.</li><li><strong>Telescopic Adjustment:</strong> The smooth-sliding mechanism extends from 41 to 63 inches, providing secure, reliable locking at any length within the range.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with all major flat box brands for maximum versatility.</li><li><strong>Ergonomic Design:</strong> Built to minimize operator fatigue during extended use on demanding jobsites.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FBHE-AD</td></tr><tr><td>UPC</td><td>873876004645</td></tr><tr><td>Minimum Length</td><td>41 inches</td></tr><tr><td>Maximum Length</td><td>63 inches</td></tr><tr><td>Brake System</td><td>Brake Anywhere Technology</td></tr></tbody></table>","The Asgard Extendable Flat Box Handle offers a 41 to 63-inch telescopic range and universal compatibility. Its Brake Anywhere technology provides precise control while minimizing mechanical wear for reliable, long-term performance.",Drywall Finishing Tools > Asgard > Handles & Extensions
Asgard,simple,FH-AD,FH-AD,Asgard Fiberglass Handle (FH-AD),"<p><strong>Asgard Fiberglass Handle (FH-AD)</strong> provides a lightweight, high-strength solution for drywall finishing professionals requiring consistent control. This 43-inch support handle is engineered to minimize operator fatigue through an ergonomic 1.25-inch diameter shaft, ensuring comfort during extended periods of repetitive use.</p><p>The handle features a precision-machined D-shaped fitting that locks securely into compatible tools. This design eliminates unwanted rotation, providing the stability necessary for precise corner rolling, angle boxing, and nail spotting applications.</p><p><strong>Features:</strong></p><ul><li><strong>Anti-Rotation Design:</strong> The integrated D-shaped connector ensures a rigid, non-slip connection to prevent tool movement during operation.</li><li><strong>Ergonomic Profile:</strong> A 1.25-inch diameter shaft is optimized for a natural grip, reducing hand and wrist strain.</li><li><strong>Versatile Compatibility:</strong> Designed to interface with a wide range of finishing tools, including corner rollers, angle boxes, and nail spotters.</li><li><strong>Durable Construction:</strong> Manufactured from high-grade fiberglass to balance structural rigidity with a lightweight, 1.15 lb profile.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>FH-AD</td></tr><tr><td>Material</td><td>Fiberglass</td></tr><tr><td>Overall Length</td><td>43 inches</td></tr><tr><td>Handle Diameter</td><td>1.25 inches</td></tr><tr><td>Weight</td><td>1.15 lbs</td></tr><tr><td>Compatibility</td><td>Corner Rollers, Angle Boxes, Angle Heads, Nail Spotters</td></tr></tbody></table>","Asgard Fiberglass Handle (FH-AD) features a 43-inch length and a secure D-shaped fitting to prevent rotation, providing professional-grade stability and ergonomic control for drywall finishing tools.",Drywall Finishing Tools > Asgard > Handles & Extensions
Asgard,simple,GN01-AD,GN01-AD,Asgard Gooseneck (GN01-AD),"<p><strong>Asgard Gooseneck (GN01-AD)</strong> serves as the critical link between your loading pump and automatic taper, facilitating a seamless transfer of joint compound. Engineered for the high-volume demands of professional drywall finishing, this component minimizes downtime by enabling rapid, mess-free tool filling on the job site.</p><p>Constructed from high-grade stainless steel, this gooseneck is built to withstand daily site wear while resisting corrosion. The integrated cradle features protective rubber sleeves, specifically designed to prevent surface damage to your automatic taper during the loading process. Precision-machined fittings ensure a secure, leak-free connection with standard industry loading pumps and traditional-style automatic tapers.</p><p><strong>Features:</strong></p><ul><li><strong>Durable Construction:</strong> Fabricated from high-quality stainless steel for long-term reliability in active job site environments.</li><li><strong>Taper Protection:</strong> Features rubber-coated cradle sleeves to safeguard your automatic taper from wear and surface damage during filling.</li><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with traditional-style automatic tapers and most major brand loading pumps.</li><li><strong>Efficient Operation:</strong> Facilitates rapid, clean compound transfer, significantly reducing prep time between taping runs.</li><li><strong>Secure Seal:</strong> Precision-engineered fittings provide a tight, reliable connection to prevent compound leakage under pressure.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>GN01-AD</td></tr><tr><td>Material</td><td>Stainless Steel</td></tr><tr><td>Compatibility</td><td>Traditional-style automatic tapers and major brand loading pumps</td></tr><tr><td>UPC</td><td>873876004584</td></tr></tbody></table>","The Asgard Gooseneck (GN01-AD) is a professional-grade stainless steel attachment designed for efficient, leak-free compound transfer from loading pumps to automatic tapers. Featuring a protective rubber-sleeved cradle, it ensures a secure fit and long-term durability for high-volume drywall...",Drywall Finishing Tools > Asgard > Repair Kits & Parts
Asgard,simple,HU-OI6G-88Y4,HU-OI6G-88Y4,Asgard Starter Set (HU-OI6G-88Y4),"<p>Asgard Starter Set provides a foundational collection of professional-grade drywall finishing tools, engineered for contractors who demand durability and consistent performance. This kit streamlines the finishing process by grouping essential, high-quality components that work in tandem to deliver clean, efficient results on every job site. Each tool is constructed from robust materials to withstand rigorous daily use, ensuring long-term reliability for both new and experienced finishers.</p><p><strong>Features:</strong></p><ul><li><strong>Professional-Grade Construction:</strong> Built with high-quality alloys and components designed to endure the demands of active construction environments.</li><li><strong>Optimized Workflow:</strong> Curated to include the fundamental tools required to transition from preparation to final execution with minimal setup time.</li><li><strong>Ergonomic Design:</strong> Each component prioritizes user comfort and maneuverability, reducing fatigue during extended finishing sessions.</li><li><strong>Interoperable Components:</strong> Designed to integrate seamlessly with standard industry equipment, offering flexibility for existing tool inventories.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Asgard</td></tr><tr><td>SKU</td><td>HU-OI6G-88Y4</td></tr><tr><td>UPC</td><td>0873876005345</td></tr><tr><td>Warranty</td><td>5-Year Limited Warranty</td></tr><tr><td>Set Includes</td><td>Professional drywall finishing tools (specific components vary by kit configuration)</td></tr></tbody></table>","Asgard Starter Set is a professional-grade collection of essential drywall finishing tools, engineered for durability, efficiency, and consistent performance on the job site.",Drywall Finishing Tools > Asgard > Tool Sets & Bundles
Asgard,simple,LP01-AD,LP01-AD,Asgard Loading Pump (LP01-AD),"<p><strong>Asgard Loading Pump (LP01-AD)</strong> delivers reliable, high-volume compound transfer for professional drywall finishing. Engineered for daily job site demands, this manual pump streamlines the filling of automatic tapers, flat boxes, and corner applicators. Its robust, anodized construction ensures long-term durability, while the integrated O-ring seal eliminates the need for traditional paper gaskets, providing a secure, leak-free connection for filler adapters and goosenecks.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with all major brands of automatic taping tools and finishing attachments.</li><li><strong>Integrated Sealing:</strong> Features an innovative O-ring design that ensures a tight, leak-free seal without the maintenance headaches of paper gaskets.</li><li><strong>Simplified Maintenance:</strong> The clamped pump tube allows for rapid, tool-free disassembly, facilitating thorough cleaning and extended service life.</li><li><strong>Enhanced Stability:</strong> Equipped with a reinforced, wide footplate to prevent tipping and maintain balance during high-pressure operation.</li><li><strong>Durable Construction:</strong> Built with industrial-grade materials and an anodized finish to withstand the rigors of professional use.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>SKU</td><td>LP01-AD</td></tr><tr><td>Brand</td><td>Asgard</td></tr><tr><td>UPC</td><td>0873876004560</td></tr><tr><td>Compatibility</td><td>All major automatic taping tools</td></tr><tr><td>Primary Material</td><td>Industrial-grade metal and composite</td></tr><tr><td>Color Scheme</td><td>Black and Blue</td></tr><tr><td>Includes</td><td>Loading pump unit, coarse filter screen, fine filter screen, extra valve disc</td></tr></tbody></table>","Asgard Loading Pump (LP01-AD) offers professional-grade compound transfer with a durable, anodized design. Featuring an integrated O-ring seal for leak-free connections and a stable footplate, it is compatible with all major automatic taping tool brands and allows for quick, tool-free cleaning.",Drywall Finishing Tools > Asgard > Pumps & Accessories
