sku,type,name,match_source,image_count,images,variation_image,catalog_images,status
TT-X-PREMIUM-GOLD-STAINLESS-STEEL-MIDFLEXX-FINISHING-TROWEL,variable,TapeTech X Premium Gold Stainless Steel MIDFLEXX Finishing Trowel,children,20,tapetech-TG12054-PS-01.webp | tapetech-TG12054-PS-02.webp | tapetech-TG12054-PS-03.webp | tapetech-TG12054-PS-04.webp | tapetech-TG12054-PS-05.webp | tapetech-TG14054-PS-01.webp | tapetech-TG14054-PS-02.webp | tapetech-TG14054-PS-03.webp | tapetech-TG14054-PS-04.webp | tapetech-TG14054-PS-05.webp | tapetech-TG16054-PS-01.webp | tapetech-TG16054-PS-02.webp | tapetech-TG16054-PS-03.webp | tapetech-TG16054-PS-04.webp | tapetech-TG16054-PS-05.webp | tapetech-TG18054-PS-01.webp | tapetech-TG18054-PS-02.webp | tapetech-TG18054-PS-03.webp | tapetech-TG18054-PS-04.webp | tapetech-TG18054-PS-05.webp,,tapetech-TG12054-PS-01.webp | tapetech-TG12054-PS-02.webp | tapetech-TG12054-PS-03.webp | tapetech-TG12054-PS-04.webp | tapetech-TG12054-PS-05.webp | tapetech-TG14054-PS-01.webp | tapetech-TG14054-PS-,mapped
TG12054-PS,variation,"TapeTech X Premium Gold Stainless Steel MIDFLEXX Finishing Trowel - 12"" x 4.7""",primary:sku_direct,5,tapetech-TG12054-PS-01.webp | tapetech-TG12054-PS-02.webp | tapetech-TG12054-PS-03.webp | tapetech-TG12054-PS-04.webp | tapetech-TG12054-PS-05.webp,tapetech-TG12054-PS-01.webp,tapetech-TG12054-PS-01.webp | tapetech-TG12054-PS-02.webp | tapetech-TG12054-PS-03.webp | tapetech-TG12054-PS-04.webp | tapetech-TG12054-PS-05.webp,mapped
TG14054-PS,variation,"TapeTech X Premium Gold Stainless Steel MIDFLEXX Finishing Trowel - 14"" x 4.7""",primary:sku_direct,5,tapetech-TG14054-PS-01.webp | tapetech-TG14054-PS-02.webp | tapetech-TG14054-PS-03.webp | tapetech-TG14054-PS-04.webp | tapetech-TG14054-PS-05.webp,tapetech-TG14054-PS-01.webp,tapetech-TG14054-PS-01.webp | tapetech-TG14054-PS-02.webp | tapetech-TG14054-PS-03.webp | tapetech-TG14054-PS-04.webp | tapetech-TG14054-PS-05.webp,mapped
TG16054-PS,variation,"TapeTech X Premium Gold Stainless Steel MIDFLEXX Finishing Trowel - 16"" x 4.7""",primary:sku_direct,5,tapetech-TG16054-PS-01.webp | tapetech-TG16054-PS-02.webp | tapetech-TG16054-PS-03.webp | tapetech-TG16054-PS-04.webp | tapetech-TG16054-PS-05.webp,tapetech-TG16054-PS-01.webp,tapetech-TG16054-PS-01.webp | tapetech-TG16054-PS-02.webp | tapetech-TG16054-PS-03.webp | tapetech-TG16054-PS-04.webp | tapetech-TG16054-PS-05.webp,mapped
TG18054-PS,variation,"TapeTech X Premium Gold Stainless Steel MIDFLEXX Finishing Trowel - 18"" x 4.7""",primary:sku_direct,5,tapetech-TG18054-PS-01.webp | tapetech-TG18054-PS-02.webp | tapetech-TG18054-PS-03.webp | tapetech-TG18054-PS-04.webp | tapetech-TG18054-PS-05.webp,tapetech-TG18054-PS-01.webp,tapetech-TG18054-PS-01.webp | tapetech-TG18054-PS-02.webp | tapetech-TG18054-PS-03.webp | tapetech-TG18054-PS-04.webp | tapetech-TG18054-PS-05.webp,mapped
TT-PREMIUM-STAINLESS-STEEL-JOINT-KNIFE,variable,TapeTech Premium Stainless Steel Joint Knife,children,10,tapetech-JK01SSTT-01.webp | tapetech-JK02SSTT-01.webp | tapetech-JK03SSTT-01.webp | tapetech-JK03SSTT-02.webp | tapetech-JK03SSTT-03.webp | tapetech-JK03SSTT-04.webp | tapetech-JK03SSTT-05.webp | tapetech-JK04SSTT-01.webp | tapetech-JK05SSTT-01.webp | tapetech-JK06SSTT-01.webp,,tapetech-JK01SSTT-01.webp | tapetech-JK02SSTT-01.webp | tapetech-JK03SSTT-01.webp | tapetech-JK03SSTT-02.webp | tapetech-JK03SSTT-03.webp | tapetech-JK03SSTT-04.webp | tapetech-JK03SSTT-05.webp | tape,mapped
JK01SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 1""",primary:sku_direct,1,tapetech-JK01SSTT-01.webp,tapetech-JK01SSTT-01.webp,tapetech-JK01SSTT-01.webp,mapped
JK02SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 2""",primary:sku_direct,1,tapetech-JK02SSTT-01.webp,tapetech-JK02SSTT-01.webp,tapetech-JK02SSTT-01.webp,mapped
JK03SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 3""",primary:sku_direct,5,tapetech-JK03SSTT-01.webp | tapetech-JK03SSTT-02.webp | tapetech-JK03SSTT-03.webp | tapetech-JK03SSTT-04.webp | tapetech-JK03SSTT-05.webp,tapetech-JK03SSTT-01.webp,tapetech-JK03SSTT-01.webp | tapetech-JK03SSTT-02.webp | tapetech-JK03SSTT-03.webp | tapetech-JK03SSTT-04.webp | tapetech-JK03SSTT-05.webp,mapped
JK04SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 4""",primary:sku_direct,1,tapetech-JK04SSTT-01.webp,tapetech-JK04SSTT-01.webp,tapetech-JK04SSTT-01.webp,mapped
JK05SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 5""",primary:sku_direct,1,tapetech-JK05SSTT-01.webp,tapetech-JK05SSTT-01.webp,tapetech-JK05SSTT-01.webp,mapped
JK06SSTT,variation,"TapeTech Premium Stainless Steel Joint Knife - 6""",primary:sku_direct,1,tapetech-JK06SSTT-01.webp,tapetech-JK06SSTT-01.webp,tapetech-JK06SSTT-01.webp,mapped
TT-90-OUTSIDE-CORNER-EDGER,variable,TapeTech 90° Outside Corner Edger,children,5,tapetech-EEX10090-01.webp | tapetech-EEX15090-01.webp | tapetech-EEX20090-01.webp | tapetech-EEX5090-01.webp | tapetech-EEX7590-01.webp,,tapetech-EEX10090-01.webp | tapetech-EEX15090-01.webp | tapetech-EEX20090-01.webp | tapetech-EEX5090-01.webp | tapetech-EEX7590-01.webp,mapped
EEX10090,variation,"TapeTech 90° Outside Corner Edger - 1""",primary:sku_direct,1,tapetech-EEX10090-01.webp,tapetech-EEX10090-01.webp,tapetech-EEX10090-01.webp,mapped
EEX15090,variation,"TapeTech 90° Outside Corner Edger - 1.5""",primary:sku_direct,1,tapetech-EEX15090-01.webp,tapetech-EEX15090-01.webp,tapetech-EEX15090-01.webp,mapped
EEX20090,variation,"TapeTech 90° Outside Corner Edger - 2""",primary:sku_direct,1,tapetech-EEX20090-01.webp,tapetech-EEX20090-01.webp,tapetech-EEX20090-01.webp,mapped
EEX5090,variation,"TapeTech 90° Outside Corner Edger - 0.5""",primary:sku_direct,1,tapetech-EEX5090-01.webp,tapetech-EEX5090-01.webp,tapetech-EEX5090-01.webp,mapped
EEX7590,variation,"TapeTech 90° Outside Corner Edger - 0.75""",primary:sku_direct,1,tapetech-EEX7590-01.webp,tapetech-EEX7590-01.webp,tapetech-EEX7590-01.webp,mapped
TT-SIDE-CORNER-EDGER,variable,TapeTech 90° Inside Corner Edger,children,5,tapetech-EIN10090-01.webp | tapetech-EIN15090-01.webp | tapetech-EIN20090-01.webp | tapetech-EIN5090-01.webp | tapetech-EIN7590-01.webp,,tapetech-EIN10090-01.webp | tapetech-EIN15090-01.webp | tapetech-EIN20090-01.webp | tapetech-EIN5090-01.webp | tapetech-EIN7590-01.webp,mapped
EIN10090,variation,"TapeTech 90° Inside Corner Edger - 1""",primary:sku_direct,1,tapetech-EIN10090-01.webp,tapetech-EIN10090-01.webp,tapetech-EIN10090-01.webp,mapped
EIN15090,variation,"TapeTech 90° Inside Corner Edger - 1.5""",primary:sku_direct,1,tapetech-EIN15090-01.webp,tapetech-EIN15090-01.webp,tapetech-EIN15090-01.webp,mapped
EIN20090,variation,"TapeTech 90° Inside Corner Edger - 2""",primary:sku_direct,1,tapetech-EIN20090-01.webp,tapetech-EIN20090-01.webp,tapetech-EIN20090-01.webp,mapped
EIN5090,variation,"TapeTech 90° Inside Corner Edger - 0.5""",primary:sku_direct,1,tapetech-EIN5090-01.webp,tapetech-EIN5090-01.webp,tapetech-EIN5090-01.webp,mapped
EIN7590,variation,"TapeTech 90° Inside Corner Edger - 0.75""",primary:sku_direct,1,tapetech-EIN7590-01.webp,tapetech-EIN7590-01.webp,tapetech-EIN7590-01.webp,mapped
TT-X-PREMIUM-GOLD-STAINLESS-STEEL-FINISHING-TROWEL,variable,TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip,children,9,tapetech-TG110565-PS-01.webp | tapetech-TG120565-PS-01.webp | tapetech-TG120565-PS-02.webp | tapetech-TG140565-PS-01.webp | tapetech-TG140565-PS-02.webp | tapetech-TG160565-PS-01.webp | tapetech-TG160565-PS-02.webp | tapetech-TG180565-PS-01.webp | tapetech-TG180565-PS-02.webp,,tapetech-TG110565-PS-01.webp | tapetech-TG120565-PS-01.webp | tapetech-TG120565-PS-02.webp | tapetech-TG140565-PS-01.webp | tapetech-TG140565-PS-02.webp | tapetech-TG160565-PS-01.webp | tapetech-TG160,mapped
TG110565-PS,variation,"TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip - 11""",primary:sku_direct,1,tapetech-TG110565-PS-01.webp,tapetech-TG110565-PS-01.webp,tapetech-TG110565-PS-01.webp,mapped
TG120565-PS,variation,"TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip - 12""",primary:sku_direct,2,tapetech-TG120565-PS-01.webp | tapetech-TG120565-PS-02.webp,tapetech-TG120565-PS-01.webp,tapetech-TG120565-PS-01.webp | tapetech-TG120565-PS-02.webp,mapped
TG140565-PS,variation,"TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip - 14""",primary:sku_direct,2,tapetech-TG140565-PS-01.webp | tapetech-TG140565-PS-02.webp,tapetech-TG140565-PS-01.webp,tapetech-TG140565-PS-01.webp | tapetech-TG140565-PS-02.webp,mapped
TG160565-PS,variation,"TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip - 16""",primary:sku_direct,2,tapetech-TG160565-PS-01.webp | tapetech-TG160565-PS-02.webp,tapetech-TG160565-PS-01.webp,tapetech-TG160565-PS-01.webp | tapetech-TG160565-PS-02.webp,mapped
TG180565-PS,variation,"TapeTech X Premium Gold Stainless Steel Finishing Trowel – ProSoft Grip - 18""",primary:sku_direct,2,tapetech-TG180565-PS-01.webp | tapetech-TG180565-PS-02.webp,tapetech-TG180565-PS-01.webp,tapetech-TG180565-PS-01.webp | tapetech-TG180565-PS-02.webp,mapped
TT-EASYCLEAN-FINISHING-BOX,variable,TapeTech EasyClean® Finishing Box,children,21,tapetech-EZ07TT-01.webp | tapetech-EZ07TT-02.webp | tapetech-EZ07TT-03.webp | tapetech-EZ10TT-01.webp | tapetech-EZ10TT-02.webp | tapetech-EZ10TT-03.webp | tapetech-EZ10TT-04.webp | tapetech-EZ10TT-05.webp | tapetech-EZ10TT-06.webp | tapetech-EZ10TT-10.webp | tapetech-EZ12TT-01.webp | tapetech-EZ12TT-02.webp | tapetech-EZ12TT-03.webp | tapetech-EZ12TT-04.webp | tapetech-EZ12TT-05.webp | tapetech-EZ12TT-06.webp | tapetech-EZ15TT-01.webp | tapetech-EZ15TT-02.webp | tapetech-EZ15TT-03.webp | tapetech-EZ15TT-04.webp | tapetech-EZ15TT-05.webp,,tapetech-EZ07TT-01.webp | tapetech-EZ07TT-02.webp | tapetech-EZ07TT-03.webp | tapetech-EZ10TT-01.webp | tapetech-EZ10TT-02.webp | tapetech-EZ10TT-03.webp | tapetech-EZ10TT-04.webp | tapetech-EZ10TT-05,mapped
EZ07TT,variation,"TapeTech EasyClean® Finishing Box - 7""",primary:sku_direct,3,tapetech-EZ07TT-01.webp | tapetech-EZ07TT-02.webp | tapetech-EZ07TT-03.webp,tapetech-EZ07TT-01.webp,tapetech-EZ07TT-01.webp | tapetech-EZ07TT-02.webp | tapetech-EZ07TT-03.webp,mapped
EZ10TT,variation,"TapeTech EasyClean® Finishing Box - 10""",primary:sku_direct,7,tapetech-EZ10TT-01.webp | tapetech-EZ10TT-02.webp | tapetech-EZ10TT-03.webp | tapetech-EZ10TT-04.webp | tapetech-EZ10TT-05.webp | tapetech-EZ10TT-06.webp | tapetech-EZ10TT-10.webp,tapetech-EZ10TT-01.webp,tapetech-EZ10TT-01.webp | tapetech-EZ10TT-02.webp | tapetech-EZ10TT-03.webp | tapetech-EZ10TT-04.webp | tapetech-EZ10TT-05.webp | tapetech-EZ10TT-06.webp | tapetech-EZ10TT-10.webp,mapped
EZ12TT,variation,"TapeTech EasyClean® Finishing Box - 12""",primary:sku_direct,6,tapetech-EZ12TT-01.webp | tapetech-EZ12TT-02.webp | tapetech-EZ12TT-03.webp | tapetech-EZ12TT-04.webp | tapetech-EZ12TT-05.webp | tapetech-EZ12TT-06.webp,tapetech-EZ12TT-01.webp,tapetech-EZ12TT-01.webp | tapetech-EZ12TT-02.webp | tapetech-EZ12TT-03.webp | tapetech-EZ12TT-04.webp | tapetech-EZ12TT-05.webp | tapetech-EZ12TT-06.webp,mapped
EZ15TT,variation,"TapeTech EasyClean® Finishing Box - 15""",primary:sku_direct,5,tapetech-EZ15TT-01.webp | tapetech-EZ15TT-02.webp | tapetech-EZ15TT-03.webp | tapetech-EZ15TT-04.webp | tapetech-EZ15TT-05.webp,tapetech-EZ15TT-01.webp,tapetech-EZ15TT-01.webp | tapetech-EZ15TT-02.webp | tapetech-EZ15TT-03.webp | tapetech-EZ15TT-04.webp | tapetech-EZ15TT-05.webp,mapped
TT-COMBO-FLUSHER,variable,TapeTech Combo Corner Flusher,children,7,tapetech-CF25COMBO-01.webp | tapetech-CF30COMBO-01.webp | tapetech-CF35COMBO-01.webp | tapetech-CF40COMBO-01.webp | tapetech-CF40COMBO-02.webp | tapetech-CF40COMBO-03.webp | tapetech-CF40COMBO-04.webp,,tapetech-CF25COMBO-01.webp | tapetech-CF30COMBO-01.webp | tapetech-CF35COMBO-01.webp | tapetech-CF40COMBO-01.webp | tapetech-CF40COMBO-02.webp | tapetech-CF40COMBO-03.webp | tapetech-CF40COMBO-04.webp,mapped
CF25COMBO,variation,"TapeTech Combo Corner Flusher - 2.5""",secondary:sku_direct,1,tapetech-CF25COMBO-01.webp,tapetech-CF25COMBO-01.webp,tapetech-CF25COMBO-01.webp,mapped
CF30COMBO,variation,"TapeTech Combo Corner Flusher - 3""",secondary:sku_direct,1,tapetech-CF30COMBO-01.webp,tapetech-CF30COMBO-01.webp,tapetech-CF30COMBO-01.webp,mapped
CF35COMBO,variation,"TapeTech Combo Corner Flusher - 3.5""",secondary:sku_direct,1,tapetech-CF35COMBO-01.webp,tapetech-CF35COMBO-01.webp,tapetech-CF35COMBO-01.webp,mapped
CF40COMBO,variation,"TapeTech Combo Corner Flusher - 4""",secondary:sku_direct,4,tapetech-CF40COMBO-01.webp | tapetech-CF40COMBO-02.webp | tapetech-CF40COMBO-03.webp | tapetech-CF40COMBO-04.webp,tapetech-CF40COMBO-01.webp,tapetech-CF40COMBO-01.webp | tapetech-CF40COMBO-02.webp | tapetech-CF40COMBO-03.webp | tapetech-CF40COMBO-04.webp,mapped
TT-DIRECT-FLUSHER,variable,TapeTech Direct Corner Flusher,children,12,tapetech-CF25TT-01.webp | tapetech-CF25TT-02.webp | tapetech-CF25TT-03.webp | tapetech-CF30TT-01.webp | tapetech-CF30TT-02.webp | tapetech-CF30TT-03.webp | tapetech-CF35TT-01.webp | tapetech-CF35TT-02.webp | tapetech-CF35TT-03.webp | tapetech-CF40TT-01.webp | tapetech-CF40TT-02.webp | tapetech-CF40TT-03.webp,,tapetech-CF25TT-01.webp | tapetech-CF25TT-02.webp | tapetech-CF25TT-03.webp | tapetech-CF30TT-01.webp | tapetech-CF30TT-02.webp | tapetech-CF30TT-03.webp | tapetech-CF35TT-01.webp | tapetech-CF35TT-02,mapped
CF25TT,variation,"TapeTech Direct Corner Flusher - 2.5""",secondary:sku_direct,3,tapetech-CF25TT-01.webp | tapetech-CF25TT-02.webp | tapetech-CF25TT-03.webp,tapetech-CF25TT-01.webp,tapetech-CF25TT-01.webp | tapetech-CF25TT-02.webp | tapetech-CF25TT-03.webp,mapped
CF30TT,variation,"TapeTech Direct Corner Flusher - 3""",secondary:sku_direct,3,tapetech-CF30TT-01.webp | tapetech-CF30TT-02.webp | tapetech-CF30TT-03.webp,tapetech-CF30TT-01.webp,tapetech-CF30TT-01.webp | tapetech-CF30TT-02.webp | tapetech-CF30TT-03.webp,mapped
CF35TT,variation,"TapeTech Direct Corner Flusher - 3.5""",secondary:sku_direct,3,tapetech-CF35TT-01.webp | tapetech-CF35TT-02.webp | tapetech-CF35TT-03.webp,tapetech-CF35TT-01.webp,tapetech-CF35TT-01.webp | tapetech-CF35TT-02.webp | tapetech-CF35TT-03.webp,mapped
CF40TT,variation,"TapeTech Direct Corner Flusher - 4""",secondary:sku_direct,3,tapetech-CF40TT-01.webp | tapetech-CF40TT-02.webp | tapetech-CF40TT-03.webp,tapetech-CF40TT-01.webp,tapetech-CF40TT-01.webp | tapetech-CF40TT-02.webp | tapetech-CF40TT-03.webp,mapped
TT-EASY-FINISH-BENT-FLAT-BOX-HANDLE,variable,TapeTech EasyFinish® Bent Flat Box Handle,children,8,tapetech-8134TT-01.webp | tapetech-8134TT-02.webp | tapetech-8142TT-01.webp | tapetech-8142TT-02.webp | tapetech-8154TT-01.webp | tapetech-8154TT-02.webp | tapetech-8172TT-01.webp | tapetech-8172TT-02.webp,,tapetech-8134TT-01.webp | tapetech-8134TT-02.webp | tapetech-8142TT-01.webp | tapetech-8142TT-02.webp | tapetech-8154TT-01.webp | tapetech-8154TT-02.webp | tapetech-8172TT-01.webp | tapetech-8172TT-02,mapped
8134TT,variation,"TapeTech EasyFinish® Bent Flat Box Handle - 34""",primary:sku_direct,2,tapetech-8134TT-01.webp | tapetech-8134TT-02.webp,tapetech-8134TT-01.webp,tapetech-8134TT-01.webp | tapetech-8134TT-02.webp,mapped
8142TT,variation,"TapeTech EasyFinish® Bent Flat Box Handle - 42""",primary:sku_direct,2,tapetech-8142TT-01.webp | tapetech-8142TT-02.webp,tapetech-8142TT-01.webp,tapetech-8142TT-01.webp | tapetech-8142TT-02.webp,mapped
8154TT,variation,"TapeTech EasyFinish® Bent Flat Box Handle - 54""",primary:sku_direct,2,tapetech-8154TT-01.webp | tapetech-8154TT-02.webp,tapetech-8154TT-01.webp,tapetech-8154TT-01.webp | tapetech-8154TT-02.webp,mapped
8172TT,variation,"TapeTech EasyFinish® Bent Flat Box Handle - 72""",primary:sku_direct,2,tapetech-8172TT-01.webp | tapetech-8172TT-02.webp,tapetech-8172TT-01.webp,tapetech-8172TT-01.webp | tapetech-8172TT-02.webp,mapped
TT-FLAT-BOX-HANDLE,variable,TapeTech Flat Box Handle,children,11,tapetech-8034TT-01.webp | tapetech-8034TT-02.webp | tapetech-8042TT-01.webp | tapetech-8042TT-02.webp | tapetech-8054TT-01.webp | tapetech-8054TT-02.webp | tapetech-8072TT-01.webp | tapetech-8072TT-02.webp | tapetech-8072TT-03.webp | tapetech-8072TT-04.webp | tapetech-8072TT-05.webp,,tapetech-8034TT-01.webp | tapetech-8034TT-02.webp | tapetech-8042TT-01.webp | tapetech-8042TT-02.webp | tapetech-8054TT-01.webp | tapetech-8054TT-02.webp | tapetech-8072TT-01.webp | tapetech-8072TT-02,mapped
8034TT,variation,"TapeTech Flat Box Handle - 34""",primary:sku_direct,2,tapetech-8034TT-01.webp | tapetech-8034TT-02.webp,tapetech-8034TT-01.webp,tapetech-8034TT-01.webp | tapetech-8034TT-02.webp,mapped
8042TT,variation,"TapeTech Flat Box Handle - 42""",primary:sku_direct,2,tapetech-8042TT-01.webp | tapetech-8042TT-02.webp,tapetech-8042TT-01.webp,tapetech-8042TT-01.webp | tapetech-8042TT-02.webp,mapped
8054TT,variation,"TapeTech Flat Box Handle - 54""",primary:sku_direct,2,tapetech-8054TT-01.webp | tapetech-8054TT-02.webp,tapetech-8054TT-01.webp,tapetech-8054TT-01.webp | tapetech-8054TT-02.webp,mapped
8072TT,variation,"TapeTech Flat Box Handle - 72""",primary:sku_direct,5,tapetech-8072TT-01.webp | tapetech-8072TT-02.webp | tapetech-8072TT-03.webp | tapetech-8072TT-04.webp | tapetech-8072TT-05.webp,tapetech-8072TT-01.webp,tapetech-8072TT-01.webp | tapetech-8072TT-02.webp | tapetech-8072TT-03.webp | tapetech-8072TT-04.webp | tapetech-8072TT-05.webp,mapped
72052,simple,"TapeTech 24"" Finishing Knife and 12"" Compound Roller Set w/ Support Handle/Adapter",none,0,,,,missing
72054,simple,"TapeTech 32"" Finishing Knife and 12"" Compound Roller Set w/ Support Handle/Adapter",none,0,,,,missing
72055,simple,"TapeTech 24"" Premium Finishing Knife and 9"" Compound Roller Set w/ Support Handle/Adapter",none,0,,,,missing
72060,simple,"TapeTech 32"" Premium Finishing Knife and 9"" Compound Roller Kit w/ Support Handle/Adapter",none,0,,,,missing
TT-PREMIUM-BLUE-STEEL-TAPING-KNIFE,variable,TapeTech Premium Blue Steel Taping Knife,children,8,tapetech-TK08BSTT-01.webp | tapetech-TK08BSTT-02.webp | tapetech-TK10BSTT-01.webp | tapetech-TK10BSTT-02.webp | tapetech-TK12BSTT-01.webp | tapetech-TK12BSTT-02.webp | tapetech-TK14BSTT-01.webp | tapetech-TK14BSTT-02.webp,,tapetech-TK08BSTT-01.webp | tapetech-TK08BSTT-02.webp | tapetech-TK10BSTT-01.webp | tapetech-TK10BSTT-02.webp | tapetech-TK12BSTT-01.webp | tapetech-TK12BSTT-02.webp | tapetech-TK14BSTT-01.webp | tape,mapped
TK08BSTT,variation,"TapeTech Premium Blue Steel Taping Knife - 8""",primary:sku_direct,2,tapetech-TK08BSTT-01.webp | tapetech-TK08BSTT-02.webp,tapetech-TK08BSTT-01.webp,tapetech-TK08BSTT-01.webp | tapetech-TK08BSTT-02.webp,mapped
