ID,Type,SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,Sale price,Tax status,In stock?,Categories,Images,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: source_catalog,Meta: source_catalog_pages,Meta: source_validation,Meta: official_sku_raw,Meta: tsw_match_status,Meta: tsw_name_mismatch
,simple,25AH,columbia-tools-2-5-angle-head-25ah,"Columbia Tools 2.5"" Angle Head",0,hidden,"Official Columbia catalog item: 2.5"" Angle Head.","Official Columbia catalog item: 2.5"" Angle Head. Section: Angle Heads. Source listing: 2.5AH 2.5” Angle Head. Catalog page(s): 9.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Angle Heads,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg",Columbia Tools,Official Section,Angle Heads,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,sku_found_in_pdf_text,2.5AH,matched,1
,simple,25CSF,columbia-tools-2-5-combo-flusher-25csf,"Columbia Tools 2.5"" Combo Flusher",0,hidden,"Official Columbia catalog item: 2.5"" Combo Flusher.","Official Columbia catalog item: 2.5"" Combo Flusher. Section: Corner Flushers. Source listing: 2.5CSF 2.5” Combo Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,https://www.columbiatools.com/wp-content/uploads/2022/03/combo_flusher.jpg,Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,2.5CSF,matched,1
,simple,25DF,columbia-tools-2-5-direct-flusher-25df,"Columbia Tools 2.5"" Direct Flusher",0,hidden,"Official Columbia catalog item: 2.5"" Direct Flusher.","Official Columbia catalog item: 2.5"" Direct Flusher. Section: Corner Flushers. Source listing: 2.5DF 2.5” Direct Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,2.5DF,matched,1
,simple,25SF,columbia-tools-2-5-standard-flusher-25sf,"Columbia Tools 2.5"" Standard Flusher",0,hidden,"Official Columbia catalog item: 2.5"" Standard Flusher.","Official Columbia catalog item: 2.5"" Standard Flusher. Section: Corner Flushers. Source listing: 2.5SF 2.5” Standard Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,2.5SF,matched,1
,simple,2AH,columbia-tools-2-angle-head-2ah,"Columbia Tools 2"" Angle Head",0,hidden,"Official Columbia catalog item: 2"" Angle Head.","Official Columbia catalog item: 2"" Angle Head. Section: Angle Heads. Source listing: 2AH 2” Angle Head. Catalog page(s): 9.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Angle Heads,"https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg",Columbia Tools,Official Section,Angle Heads,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,sku_found_in_pdf_text,2AH,matched,1
,simple,2NS,columbia-tools-2-nail-spotter-2ns,"Columbia Tools 2"" Nail Spotter",0,hidden,"Official Columbia catalog item: 2"" Nail Spotter.","Official Columbia catalog item: 2"" Nail Spotter. Section: Nail Spotters. Source listing: 2NS 2” Nail Spotter. Catalog page(s): 13.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Nail Spotters,"https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter2inch.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter3inch.jpg",Columbia Tools,Official Section,Nail Spotters,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,sku_found_in_pdf_text,2NS,matched,1
,simple,35AH,columbia-tools-3-5-angle-head-35ah,"Columbia Tools 3.5"" Angle Head",0,hidden,"Official Columbia catalog item: 3.5"" Angle Head.","Official Columbia catalog item: 3.5"" Angle Head. Section: Angle Heads. Source listing: 3.5AH 3.5” Angle Head. Catalog page(s): 9.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Angle Heads,"https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg",Columbia Tools,Official Section,Angle Heads,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,sku_found_in_pdf_text,3.5AH,matched,1
,simple,35CSF,columbia-tools-3-5-combo-flusher-35csf,"Columbia Tools 3.5"" Combo Flusher",0,hidden,"Official Columbia catalog item: 3.5"" Combo Flusher.","Official Columbia catalog item: 3.5"" Combo Flusher. Section: Corner Flushers. Source listing: 3.5CSF 3.5” Combo Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,https://www.columbiatools.com/wp-content/uploads/2022/03/combo_flusher.jpg,Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3.5CSF,matched,1
,simple,35DF,columbia-tools-3-5-direct-flusher-35df,"Columbia Tools 3.5"" Direct Flusher",0,hidden,"Official Columbia catalog item: 3.5"" Direct Flusher.","Official Columbia catalog item: 3.5"" Direct Flusher. Section: Corner Flushers. Source listing: 3.5DF 3.5” Direct Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3.5DF,matched,1
,simple,35SF,columbia-tools-3-5-standard-flusher-35sf,"Columbia Tools 3.5"" Standard Flusher",0,hidden,"Official Columbia catalog item: 3.5"" Standard Flusher.","Official Columbia catalog item: 3.5"" Standard Flusher. Section: Corner Flushers. Source listing: 3.5SF 3.5” Standard Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3.5SF,matched,1
,simple,3AH,columbia-tools-3-angle-head-3ah,"Columbia Tools 3"" Angle Head",0,hidden,"Official Columbia catalog item: 3"" Angle Head.","Official Columbia catalog item: 3"" Angle Head. Section: Angle Heads. Source listing: 3AH 3” Angle Head. Catalog page(s): 9.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Angle Heads,"https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg",Columbia Tools,Official Section,Angle Heads,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,sku_found_in_pdf_text,3AH,matched,1
,simple,3BH,columbia-tools-3-180-degree-grip-flat-box-handle-3bh,Columbia Tools 3' 180 Degree Grip Flat Box Handle,0,hidden,Official Columbia catalog item: 3' 180 Degree Grip Flat Box Handle.,Official Columbia catalog item: 3' 180 Degree Grip Flat Box Handle. Section: Flat Box Handles. Source listing: 3BH 3’ 180° Grip Flat Box Handle. Catalog page(s): 17.,,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,,Columbia Tools,Official Section,Flat Box Handles,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,sku_found_in_pdf_text,3BH,matched,1
,simple,3CSF,columbia-tools-3-combo-flusher-3csf,"Columbia Tools 3"" Combo Flusher",0,hidden,"Official Columbia catalog item: 3"" Combo Flusher.","Official Columbia catalog item: 3"" Combo Flusher. Section: Corner Flushers. Source listing: 3CSF 3” Combo Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,https://www.columbiatools.com/wp-content/uploads/2022/03/combo_flusher.jpg,Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3CSF,matched,1
,simple,3DF,columbia-tools-3-direct-flusher-3df,"Columbia Tools 3"" Direct Flusher",0,hidden,"Official Columbia catalog item: 3"" Direct Flusher.","Official Columbia catalog item: 3"" Direct Flusher. Section: Corner Flushers. Source listing: 3DF 3” Direct Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3DF,matched,1
,simple,3NS,columbia-tools-3-nail-spotter-3ns,"Columbia Tools 3"" Nail Spotter",0,hidden,"Official Columbia catalog item: 3"" Nail Spotter.","Official Columbia catalog item: 3"" Nail Spotter. Section: Nail Spotters. Source listing: 3NS 3” Nail Spotter. Catalog page(s): 13.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Nail Spotters,"https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter3inch.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter2inch.jpg",Columbia Tools,Official Section,Nail Spotters,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,sku_found_in_pdf_text,3NS,matched,1
,simple,3SF,columbia-tools-3-standard-flusher-3sf,"Columbia Tools 3"" Standard Flusher",0,hidden,"Official Columbia catalog item: 3"" Standard Flusher.","Official Columbia catalog item: 3"" Standard Flusher. Section: Corner Flushers. Source listing: 3SF 3” Standard Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3SF,matched,1
,simple,3WTCSF,columbia-tools-3-widetrack-combo-flusher-3wtcsf,"Columbia Tools 3"" Widetrack Combo Flusher",0,hidden,"Official Columbia catalog item: 3"" Widetrack Combo Flusher.","Official Columbia catalog item: 3"" Widetrack Combo Flusher. Section: Corner Flushers. Source listing: 3WTCSF 3” Widetrack Combo Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,https://www.columbiatools.com/wp-content/uploads/2022/03/combo_flusher.jpg,Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3WTCSF,missing_in_tsw,
,simple,3WTDF,columbia-tools-3-widetrack-direct-flusher-3wtdf,"Columbia Tools 3"" Widetrack Direct Flusher",0,hidden,"Official Columbia catalog item: 3"" Widetrack Direct Flusher.","Official Columbia catalog item: 3"" Widetrack Direct Flusher. Section: Corner Flushers. Source listing: 3WTDF 3” Widetrack Direct Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3WTDF,matched,1
,simple,3WTSF,columbia-tools-3-widetrack-standard-flusher-3wtsf,"Columbia Tools 3"" Widetrack Standard Flusher",0,hidden,"Official Columbia catalog item: 3"" Widetrack Standard Flusher.","Official Columbia catalog item: 3"" Widetrack Standard Flusher. Section: Corner Flushers. Source listing: 3WTSF 3” Widetrack Standard Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,3WTSF,matched,1
,simple,42BH,columbia-tools-42-180-degree-grip-flat-box-handle-42bh,"Columbia Tools 42"" 180 Degree Grip Flat Box Handle",0,hidden,"Official Columbia catalog item: 42"" 180 Degree Grip Flat Box Handle.","Official Columbia catalog item: 42"" 180 Degree Grip Flat Box Handle. Section: Flat Box Handles. Source listing: 42BH 42” 180° Grip Flat Box Handle. Catalog page(s): 17.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,,Columbia Tools,Official Section,Flat Box Handles,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,sku_found_in_pdf_text,42BH,matched,1
,simple,4BH,columbia-tools-4-180-degree-grip-flat-box-handle-4bh,Columbia Tools 4' 180 Degree Grip Flat Box Handle,0,hidden,Official Columbia catalog item: 4' 180 Degree Grip Flat Box Handle.,Official Columbia catalog item: 4' 180 Degree Grip Flat Box Handle. Section: Flat Box Handles. Source listing: 4BH 4’ 180° Grip Flat Box Handle. Catalog page(s): 17.,,,taxable,1,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,,Columbia Tools,Official Section,Flat Box Handles,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,sku_found_in_pdf_text,4BH,matched,1
,simple,4DF,columbia-tools-4-direct-flusher-4df,"Columbia Tools 4"" Direct Flusher",0,hidden,"Official Columbia catalog item: 4"" Direct Flusher.","Official Columbia catalog item: 4"" Direct Flusher. Section: Corner Flushers. Source listing: 4DF 4” Direct Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg, https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,4DF,missing_in_tsw,
,simple,4SF,columbia-tools-4-standard-flusher-4sf,"Columbia Tools 4"" Standard Flusher",0,hidden,"Official Columbia catalog item: 4"" Standard Flusher.","Official Columbia catalog item: 4"" Standard Flusher. Section: Corner Flushers. Source listing: 4SF 4” Standard Flusher. Catalog page(s): 20.",,,taxable,1,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png, https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png",Columbia Tools,Official Section,Corner Flushers,1,0,Catalog Item Type,tool,1,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,sku_found_in_pdf_text,4SF,missing_in_tsw,
