Diagram File Name,LABEL NUMBER ON SCHEMATIC DIAGRAM (#),PARTS SKU (PART),PARTS NAME (DESCRIPTION),PRICE
Taper-Head-Assembly-New-Style-4-760.pdf,8,9082,New Style Taper Head,$99.00
Taper-Head-Assembly-New-Style-4-760.pdf,9,7071,"Bushing, Head",$11.69
Taper-Head-Assembly-New-Style-4-760.pdf,10,9665,Right Side Plate- Taper,$27.00
Taper-Head-Assembly-New-Style-4-760.pdf,11,7047,4-40 x3/16 Bind Head Screw,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,12,9913,Taper Brake Pin Screw,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,13,7092,Cutter Block Tube,$13.94
Taper-Head-Assembly-New-Style-4-760.pdf,14,7037,Chain Roller Support (Right),$11.24
Taper-Head-Assembly-New-Style-4-760.pdf,15,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,16,9125,Cutter Chain Bushing (metal) Taper,$5.00
Taper-Head-Assembly-New-Style-4-760.pdf,17,9122,Cutter Chain Roller (white) Taper,$2.24
Taper-Head-Assembly-New-Style-4-760.pdf,18,7020,Chain Keeper,$1.00
Taper-Head-Assembly-New-Style-4-760.pdf,19,7105,8-32 x 5/8 TH Screw,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,20,7127,4-40 x 3/8 FH Screw  Fastenal 0170759,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,21,7248,4-40 Lock Nut,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,22,7126,4-40 x 5/16 BH Screw- Fastenal 70657,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,23,7444,Screw,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,24,7031,#4 Lock Washer,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,25,7124,Bearing Bracket,$3.00
Taper-Head-Assembly-New-Style-4-760.pdf,26,7087,SS UCFSL MS 4-40 x 1/8 FH Screw,$1.00
Taper-Head-Assembly-New-Style-4-760.pdf,27,7096,Taper Filler Tube Assembly,$34.19
Taper-Head-Assembly-New-Style-4-760.pdf,28,7050,3-48 Lock Nut,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,29,7051,Valve Spring,$4.49
Taper-Head-Assembly-New-Style-4-760.pdf,30,7053,Valve Assembly,$13.94
Taper-Head-Assembly-New-Style-4-760.pdf,31,7038,2/56 x 1/8 Bind Head Screw,$1.00
Taper-Head-Assembly-New-Style-4-760.pdf,32,7039,Baffle Plate Assembly,$17.54
Taper-Head-Assembly-New-Style-4-760.pdf,33,9061,AT Taper Runner,$30.14
Taper-Head-Assembly-New-Style-4-760.pdf,34,7063,Bearing Nyliner,$2.24
Taper-Head-Assembly-New-Style-4-760.pdf,35,7005,Lock Roller Assembly (Brake),$13.94
Taper-Head-Assembly-New-Style-4-760.pdf,36,7035,Anvil,$16.64
Taper-Head-Assembly-New-Style-4-760.pdf,37,9007,Roller Axle Spring (Brake Pin),$7.19
Taper-Head-Assembly-New-Style-4-760.pdf,38,9912,AT Brake Pin Holder,$66.59
Taper-Head-Assembly-New-Style-4-760.pdf,39,9914,AT Washer,$3.14
Taper-Head-Assembly-New-Style-4-760.pdf,40,9915,AT Brake Adjuster,$4.49
Taper-Head-Assembly-New-Style-4-760.pdf,41,9911,AT Washer,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,42,9910,AT Ball Screw  6-32x6.3,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,43,7448,Block,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,44,9008,Drip Guard,$7.00
Taper-Head-Assembly-New-Style-4-760.pdf,45,9085,AT Tape Guide Runner,$30.14
Taper-Head-Assembly-New-Style-4-760.pdf,46,7445,Screw,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,47,9043,Gooser Release Cam,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,48,7447,Main Cutter Chain Roller (white) Taper,$1.50
Taper-Head-Assembly-New-Style-4-760.pdf,49,9129,Main Chain Guard,$7.19
Taper-Head-Assembly-New-Style-4-760.pdf,50,9114,Chain Roller Support (Left),$9.00
Taper-Head-Assembly-New-Style-4-760.pdf,51,7088,6-32 X 1/4 FH Screw,$1.00
Taper-Head-Assembly-New-Style-4-760.pdf,52,9086,Left Side Plate- Taper,$22.00
Taper-Head-Assembly-New-Style-4-760.pdf,53,7113,Tie Rod,$30.14
Taper-Head-Assembly-New-Style-4-760.pdf,54,7072,3-48 Miniature Hex Nut,$1.79
Taper-Head-Assembly-New-Style-4-760.pdf,55,7446,Screw,Not Available
Taper-Head-Assembly-New-Style-4-760.pdf,56,7119,Nyliner Bearing-Straight,$4.04
Taper-Head-Assembly-New-Style-4-760.pdf,57,7322,Bearing,$3.14
Taper-Tube-Assembly.pdf,1,7170,6-32 x 3/16 Round Head,$1.79
Taper-Tube-Assembly.pdf,2,7169,Tube Protector,$23.39
Taper-Tube-Assembly.pdf,3,9998,AT Tape Roll Holder,$51.74
Taper-Tube-Assembly.pdf,4,7235,Taper Band Screw,$2.24
Taper-Tube-Assembly.pdf,5,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
Taper-Tube-Assembly.pdf,6,7164,Tape Spool,$16.64
Taper-Tube-Assembly.pdf,7,7287,Control Tube Assembly,$113.00
Taper-Tube-Assembly.pdf,8,9999,AT Extension Arm Guide,$5.84
Taper-Tube-Assembly.pdf,9,7144,Control Extension Arm,$47.24
Taper-Tube-Assembly.pdf,10,7315,Washer Retaining,$1.79
Taper-Tube-Assembly.pdf,11,7055,Gooser & Cutter Chain,$5.39
Taper-Tube-Assembly.pdf,12,7117,Cutter Chain Tube,$13.94
Taper-Tube-Assembly.pdf,13,7116,1/16 x 1/2in Cotter Pin Fastenal  74268,$1.79
Taper-Tube-Assembly.pdf,14,7344,Taper Head Assembly,$600.00
Taper-Tube-Assembly.pdf,15,7013,#6 Lockwasher Medium,$1.79
Taper-Tube-Assembly.pdf,16,7012,#6-32 x 1/4 Fillister Head,$1.79
Taper-Tube-Assembly.pdf,17,7198,Creaser Connector Assembly,$38.24
Taper-Tube-Assembly.pdf,18,7137,Cable,$10.79
Taper-Tube-Assembly.pdf,19,7135,1/4-20 Hex Nut,$3.00
Taper-Tube-Assembly.pdf,20,7131,1/4-20 Hex Castle Nut,$7.25
Taper-Tube-Assembly.pdf,21,7133,Plunger Cup Washer,$7.25
Taper-Tube-Assembly.pdf,22,7132,Plunger Cup,$39.14
Taper-Tube-Assembly.pdf,23,7130,Plunger,$43.64
Taper-Tube-Assembly.pdf,24,7134,1/4-20 X 3/4in HH Screw,$4.00
Taper-Tube-Assembly.pdf,25,7168,S-Hook,$3.14
Taper-Tube-Assembly.pdf,26,7166,Taper Tube,$350.99
Taper-Tube-Assembly.pdf,27,7178,#14 Brass Washer,$1.79
Taper-Tube-Assembly.pdf,28,7165,Creaser Trigger,$57.14
4-772-MiniShot.pdf,1,DXTT-1101,Extension O'Ring,$3.14
4-772-MiniShot.pdf,2,DXTT-1102,Screw 8-32 x 6,$1.79
4-772-MiniShot.pdf,3,DXTT-1103,Screw 8-32 x 9.4,$1.79
4-772-MiniShot.pdf,4,8104,Threaded Extension End,Not Available
4-772-MiniShot.pdf,5,DXTT-1105,Rubber Handle Grip,$5.00
4-772-MiniShot.pdf,6,8106,Red Handle Tube,Not Available
4-772-MiniShot.pdf,7,DXTT-1107,Screw 6-32 x 7,$1.79
4-772-MiniShot.pdf,8,DXTT-1108,Base,$81.44
4-772-MiniShot.pdf,9,DXTT-1109,U-Cup,$8.54
4-772-MiniShot.pdf,10,DXTT-1110,Screw 6-32 x 10.7,$1.79
4-772-MiniShot.pdf,11,8111,White Clear Tube Base,Not Available
4-772-MiniShot.pdf,12,DXTT-1112,Top/Bottom Support Band,$12.00
4-772-MiniShot.pdf,13,8113,Clear Tube,$121.94
4-772-MiniShot.pdf,14,8114,Band Assembly,Not Available
4-772-MiniShot.pdf,15,DXTT-1115,Latch Screw Bracket,$5.00
4-772-MiniShot.pdf,16,9623,New pump latches,$27.44
4-772-MiniShot.pdf,17,DXTT-1117,Top Cone O'Ring,$2.24
4-772-MiniShot.pdf,18,DXTT-1118,Filler Valve Stem,$15.29
4-772-MiniShot.pdf,19,DXTT-1119,Filler Valve Outlet,$34.19
4-772-MiniShot.pdf,20,DXTT-1120,Filler Spring,$3.59
4-772-MiniShot.pdf,21,DXTT-1121,Nut 6-32,$2.24
4-772-MiniShot.pdf,22,DXTT-1122,Screw 4-40,$1.00
4-772-MiniShot.pdf,23,DXTT-1123,Small Bracket for Support Band,$4.00
4-772-MiniShot.pdf,24,DXTT-1124,Set Screw 6-32x7.9,$1.79
4-772-MiniShot.pdf,25,8125,Top Cone,$27.44
4-772-MiniShot.pdf,26,DXTT-1126,Screw,$1.79
4-772-MiniShot.pdf,27,DXTT-1127,Valve Stem,$13.00
4-772-MiniShot.pdf,28,DXTT-1128,Nut 6-32,$3.14
4-772-MiniShot.pdf,29,DXTT-1130,Nozzle Assembly,$175.49
4-772-MiniShot.pdf,30,DXTT-1132,Plunger U-Cup,$20.69
4-772-MiniShot.pdf,31,8133,Plastic Plunger,$27.44
4-772-MiniShot.pdf,32,8134,Red Piston Rod,Not Available
4-772-MiniShot.pdf,33,DXTT-1136,316 SS Pan Head Slotted Screw,$1.79
4-772-MiniShot.pdf,34,8137,Gas Cylinder,$115.19
4-772-MiniShot.pdf,35,DXTT-1138,Cone Spring,$2.24
4-772-MiniShot.pdf,36,DXTT-1141,Bracket for Main Band Assembly,$5.84
4-772-MiniShot.pdf,37,8139,Top Cone Assembly,Not Available
4-772-MiniShot.pdf,38,8140,Clear Tube Assembly,Not Available
4-780-EXT-BOX-Handle-Final-Revision.pdf,1,8400,Trigger Sleeve,$27.44
4-780-EXT-BOX-Handle-Final-Revision.pdf,2,8186,Shoulder Screw,$3.14
4-780-EXT-BOX-Handle-Final-Revision.pdf,3,7015,#6-32 Thin Pattern Locknut,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,4,8510,Trigger Spring,$2.24
4-780-EXT-BOX-Handle-Final-Revision.pdf,5,8183,Locking Lever,$13.94
4-780-EXT-BOX-Handle-Final-Revision.pdf,6,8405,Ext. Handle Lever,$54.44
4-780-EXT-BOX-Handle-Final-Revision.pdf,7,8302,#10-32 Lock Nut,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,8,8210,Connecting Rod Pin,$11.24
4-780-EXT-BOX-Handle-Final-Revision.pdf,9,8215,Brake Handle Plastic Bushing,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,10,8407,Screw,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,11,8422,Top Rod 62in,$34.19
4-780-EXT-BOX-Handle-Final-Revision.pdf,12,8432,Inner Tube for 4-780,Not Available
4-780-EXT-BOX-Handle-Final-Revision.pdf,13,8435,Screw,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,14,8705,Big Bushing,$3.14
4-780-EXT-BOX-Handle-Final-Revision.pdf,15,8706,#9 Washer,$3.14
4-780-EXT-BOX-Handle-Final-Revision.pdf,16,9218,EH-Inner Spring,$2.24
4-780-EXT-BOX-Handle-Final-Revision.pdf,17,8511,Brake Mechanism,$47.69
4-780-EXT-BOX-Handle-Final-Revision.pdf,18,8409,Screw,$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,19,8518,Inner Casing,$15.00
4-780-EXT-BOX-Handle-Final-Revision.pdf,20,8517,Pin,$4.49
4-780-EXT-BOX-Handle-Final-Revision.pdf,21,8442,62in Bottom Rod,$18.00
4-780-EXT-BOX-Handle-Final-Revision.pdf,22,9212,Ext. Box Handle Head,$128.69
4-780-EXT-BOX-Handle-Final-Revision.pdf,23,7063,Bearing Nyliner,$2.24
4-780-EXT-BOX-Handle-Final-Revision.pdf,24,8700,Drive Dog Set Screw - SS 8-32 x 3/16in,$7.19
4-780-EXT-BOX-Handle-Final-Revision.pdf,25,9211,12in Blade Holder Bracket,$7.19
4-780-EXT-BOX-Handle-Final-Revision.pdf,26,9208,EH- Connector Plate,$40.94
4-780-EXT-BOX-Handle-Final-Revision.pdf,27,8515,Plastic Bearing,$3.14
4-780-EXT-BOX-Handle-Final-Revision.pdf,28,9903,Head Connector,$7.19
4-780-EXT-BOX-Handle-Final-Revision.pdf,29,9904,EH-Small Pivot Pin,$5.84
4-780-EXT-BOX-Handle-Final-Revision.pdf,30,8516,Plastic Bearing,$3.14
4-780-EXT-BOX-Handle-Final-Revision.pdf,31,7702,62in Red Ext. Handle Tube,Not Available
4-780-EXT-BOX-Handle-Final-Revision.pdf,32,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
4-780-EXT-BOX-Handle-Final-Revision.pdf,33,8276,"8-32 X 1/2in , BHC Screw",$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,1,8400,Trigger Sleeve,$27.44
4-781-EXT-BOX-Handle-Final-Revision.pdf,2,8186,Shoulder Screw,$3.14
4-781-EXT-BOX-Handle-Final-Revision.pdf,3,7015,#6-32 Thin Pattern Locknut,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,4,8510,Trigger Spring,$2.24
4-781-EXT-BOX-Handle-Final-Revision.pdf,5,8183,Locking Lever,$13.94
4-781-EXT-BOX-Handle-Final-Revision.pdf,6,8405,Ext. Handle Lever,$54.44
4-781-EXT-BOX-Handle-Final-Revision.pdf,7,8302,#10-32 Lock Nut,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,8,8210,Connecting Rod Pin,$11.24
4-781-EXT-BOX-Handle-Final-Revision.pdf,9,8215,Brake Handle Plastic Bushing,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,10,8407,Screw,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,11,8421,Top Rod 42in,$20.00
4-781-EXT-BOX-Handle-Final-Revision.pdf,12,8431,42in Gray Inner Tube,Not Available
4-781-EXT-BOX-Handle-Final-Revision.pdf,13,8435,Screw,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,14,8705,Big Bushing,$3.14
4-781-EXT-BOX-Handle-Final-Revision.pdf,15,8706,#9 Washer,$3.14
4-781-EXT-BOX-Handle-Final-Revision.pdf,16,9218,EH-Inner Spring,$2.24
4-781-EXT-BOX-Handle-Final-Revision.pdf,17,8511,Brake Mechanism,$47.69
4-781-EXT-BOX-Handle-Final-Revision.pdf,18,8409,Screw,$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,19,8518,Inner Casing,$15.00
4-781-EXT-BOX-Handle-Final-Revision.pdf,20,8517,Pin,$4.49
4-781-EXT-BOX-Handle-Final-Revision.pdf,21,8441,42in Bottom Rod,$20.00
4-781-EXT-BOX-Handle-Final-Revision.pdf,22,9212,Ext. Box Handle Head,$128.69
4-781-EXT-BOX-Handle-Final-Revision.pdf,23,7063,Bearing Nyliner,$2.24
4-781-EXT-BOX-Handle-Final-Revision.pdf,24,8700,Drive Dog Set Screw - SS 8-32 x 3/16in,$7.19
4-781-EXT-BOX-Handle-Final-Revision.pdf,25,9211,12in Blade Holder Bracket,$7.19
4-781-EXT-BOX-Handle-Final-Revision.pdf,26,9208,EH- Connector Plate,$40.94
4-781-EXT-BOX-Handle-Final-Revision.pdf,27,8515,Plastic Bearing,$3.14
4-781-EXT-BOX-Handle-Final-Revision.pdf,28,9903,Head Connector,$7.19
4-781-EXT-BOX-Handle-Final-Revision.pdf,29,9904,EH-Small Pivot Pin,$5.84
4-781-EXT-BOX-Handle-Final-Revision.pdf,30,8516,Plastic Bearing,$3.14
4-781-EXT-BOX-Handle-Final-Revision.pdf,31,7701,42in Red Ext. Handle Tube,Not Available
4-781-EXT-BOX-Handle-Final-Revision.pdf,32,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
4-781-EXT-BOX-Handle-Final-Revision.pdf,33,8276,"8-32 X 1/2in , BHC Screw",$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,1,8400,Trigger Sleeve,$27.44
4-782-EXT-BOX-Handle-Final-Revision.pdf,2,8186,Shoulder Screw,$3.14
4-782-EXT-BOX-Handle-Final-Revision.pdf,3,7015,#6-32 Thin Pattern Locknut,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,4,8510,Trigger Spring,$2.24
4-782-EXT-BOX-Handle-Final-Revision.pdf,5,8183,Locking Lever,$13.94
4-782-EXT-BOX-Handle-Final-Revision.pdf,6,8405,Ext. Handle Lever,$54.44
4-782-EXT-BOX-Handle-Final-Revision.pdf,7,8302,#10-32 Lock Nut,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,8,8210,Connecting Rod Pin,$11.24
4-782-EXT-BOX-Handle-Final-Revision.pdf,9,8215,Brake Handle Plastic Bushing,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,10,8407,Screw,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,11,8420,Top Rod 32in,$15.00
4-782-EXT-BOX-Handle-Final-Revision.pdf,12,8430,32in Gray Inner Tube,Not Available
4-782-EXT-BOX-Handle-Final-Revision.pdf,13,8435,Screw,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,14,8705,Big Bushing,$3.14
4-782-EXT-BOX-Handle-Final-Revision.pdf,15,8706,#9 Washer,$3.14
4-782-EXT-BOX-Handle-Final-Revision.pdf,16,9218,EH-Inner Spring,$2.24
4-782-EXT-BOX-Handle-Final-Revision.pdf,17,8511,Brake Mechanism,$47.69
4-782-EXT-BOX-Handle-Final-Revision.pdf,18,8409,Screw,$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,19,8518,Inner Casing,$15.00
4-782-EXT-BOX-Handle-Final-Revision.pdf,20,8517,Pin,$4.49
4-782-EXT-BOX-Handle-Final-Revision.pdf,21,8440,32in Bottom Rod,$15.00
4-782-EXT-BOX-Handle-Final-Revision.pdf,22,9212,Ext. Box Handle Head,$128.69
4-782-EXT-BOX-Handle-Final-Revision.pdf,23,7063,Bearing Nyliner,$2.24
4-782-EXT-BOX-Handle-Final-Revision.pdf,24,8700,Drive Dog Set Screw - SS 8-32 x 3/16in,$7.19
4-782-EXT-BOX-Handle-Final-Revision.pdf,25,9211,12in Blade Holder Bracket,$7.19
4-782-EXT-BOX-Handle-Final-Revision.pdf,26,9208,EH- Connector Plate,$40.94
4-782-EXT-BOX-Handle-Final-Revision.pdf,27,8515,Plastic Bearing,$3.14
4-782-EXT-BOX-Handle-Final-Revision.pdf,28,9903,Head Connector,$7.19
4-782-EXT-BOX-Handle-Final-Revision.pdf,29,9904,EH-Small Pivot Pin,$5.84
4-782-EXT-BOX-Handle-Final-Revision.pdf,30,8516,Plastic Bearing,$3.14
4-782-EXT-BOX-Handle-Final-Revision.pdf,31,7700,32in Red Ext. Handle Tube,Not Available
4-782-EXT-BOX-Handle-Final-Revision.pdf,32,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
4-782-EXT-BOX-Handle-Final-Revision.pdf,33,8276,"8-32 X 1/2in , BHC Screw",$1.79
52-inch-Extendable-Accessory-Handle-4-880.pdf,1,8198,Plastic Stopper,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,2,8800,Short Gray Tube,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,3,8435,Screw,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,4,7015,#6-32 Thin Pattern Locknut,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,5,7470,Handle Connector,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,6,7471,Support Bracket,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,7,8291,"8-32 X 3/8, BHC Screw",Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,8,7379,Small Thumb Screw,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,9,4-878,Corner Applicator Adapter,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,10,4-877,Corner Roller or 2nd Gen Nail Spotter Adapter,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,11,4-879,Corner Finisher Adapter,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,12,4-875,1st Gen Nail Spotter Adapter,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,13,8276,"8-32 X 1/2in , BHC Screw",Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,14,8288,"#8-32, SS, Nylon lock, Hex nut",Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,15,8186,Shoulder Screw,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,16,8183,Locking Lever,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,17,8510,Trigger Spring,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,18,8401,Screw,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,19,8400,Trigger Sleeve,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,20,8802,Short Red Tube,Not Available
52-inch-Extendable-Accessory-Handle-4-880.pdf,21,7469,Handle End,Not Available
72-inch-Extendable-Accessory-Handle-4-881.pdf,1,8198,Plastic Stopper,Not Available
72-inch-Extendable-Accessory-Handle-4-881.pdf,2,8801,Long Gray Tube,$75.00
72-inch-Extendable-Accessory-Handle-4-881.pdf,3,8435,Screw,$1.79
72-inch-Extendable-Accessory-Handle-4-881.pdf,4,7015,#6-32 Thin Pattern Locknut,$1.79
72-inch-Extendable-Accessory-Handle-4-881.pdf,5,7470,Handle Connector,$31.00
72-inch-Extendable-Accessory-Handle-4-881.pdf,6,7471,Support Bracket,$2.00
72-inch-Extendable-Accessory-Handle-4-881.pdf,7,8291,"8-32 X 3/8, BHC Screw",$1.79
72-inch-Extendable-Accessory-Handle-4-881.pdf,8,7379,Small Thumb Screw,$2.24
72-inch-Extendable-Accessory-Handle-4-881.pdf,9,4-878,Corner Applicator Adapter,$35.99
72-inch-Extendable-Accessory-Handle-4-881.pdf,10,4-877,Corner Roller or 2nd Gen Nail Spotter Adapter,$35.99
72-inch-Extendable-Accessory-Handle-4-881.pdf,11,4-879,Corner Finisher Adapter,$44.99
72-inch-Extendable-Accessory-Handle-4-881.pdf,12,4-875,1st Gen Nail Spotter Adapter,$41.99
72-inch-Extendable-Accessory-Handle-4-881.pdf,13,8276,"8-32 X 1/2in , BHC Screw",$1.79
72-inch-Extendable-Accessory-Handle-4-881.pdf,14,8288,"#8-32, SS, Nylon lock, Hex nut",$1.79
72-inch-Extendable-Accessory-Handle-4-881.pdf,15,8186,Shoulder Screw,$3.14
72-inch-Extendable-Accessory-Handle-4-881.pdf,16,8183,Locking Lever,$13.94
72-inch-Extendable-Accessory-Handle-4-881.pdf,17,8510,Trigger Spring,$2.24
72-inch-Extendable-Accessory-Handle-4-881.pdf,18,8401,Screw,$1.00
72-inch-Extendable-Accessory-Handle-4-881.pdf,19,8400,Trigger Sleeve,$27.44
