sku_code,product_title,variant_title,sales_price,cost_price,description,brand,upc_code,image_url,country_origin_code,weight_grams,product_id,min_reorder_level,quantity_to_reorder,max_reorder_level,width,depth,height,dimensions_unit,tax_rate,estimated_delivery,tags,product_properties,variant_options,tariff_code,qty_on_hand,total_qty,total_stock_value
EZ07-AD,"Asgard 7"" Flat Box",,299.00,,"Elevate your drywall projects with Asgard Taping Tools by TapeTech, which is known for its durability and functionality without the added markup. The Asgard 7"" Flat Box boasts a sleek black exterior and is compatible with other major brand Flat Box handles. It is constructed from superior-quality alloys and can withstand any job site. The quick-release thumb latches allow for effortless cleaning, and the easy dial adjustment ensures finely controlled, consistent mud output every time. Ideal for",Asgard,0873876004508,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/ez07-ad.webp,,,,,,,,,,,0,,"7"", Asgard, flat box",UPC:0873876004508,,,1,,
PA07-AD,"Asgard 7"" Power Assist Finishing Box",,428.00,,"Asgard 7"" Power Assist Finishing Box",Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/pa07-ad.webp,,,,,,,,,,,0,,"7"", Asgard, finishing box",,,,1,,
CA08-AD,"Asgard 8"" Drywall Angle Box",,270.00,,"Elevate your drywall work with Asgard Taping Tools by TapeTech, offering exceptional durability and functionality without the added markup. The Asgard 8"" Angle Box, featuring a sleek silver and black exterior, is designed to hold more compound, enhancing efficiency. Its lightweight aluminum body and durable stainless steel nose cone ensure long-lasting performance on any job site.",Asgard,0873876004607,,,,,,,,,,,,0,,"8"", Asgard, drywall",UPC:0873876004607,,,1,,
4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle)",,430.00,,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle)",Asgard,0873876005260,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/4i-sj80-1wrw.webp,,,,,,,,,,,0,,"8"", Asgard, extendable",UPC:0873876005260,,,1,,
4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle)",,373.99,,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle)",Asgard,0873876005253,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/4k-s6f6-8hq6.webp,,,,,,,,,,,0,,"8"", Asgard",UPC:0873876005253,,,1,,
CFA-AD,Asgard Angle Head Ball Adapter,,40.00,,Asgard Angle Head Ball Adapter,Asgard,0873876004829,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/cfa-ad.webp,,,,,,,,,,,0,,"angle head, Asgard",UPC:0873876004829,,,1,,
FA01-AD,Asgard Box Filler Adapter,,45.00,,"Asgard Taping Tools by TapeTech deliver exceptional durability and functionality without the added markup. The Asgard filler adapter is designed to work seamlessly with all major brand Loading Pumps, making it ideal for filling Flat Boxes, Angle Boxes, and Nail Spotters.",Asgard,0873876004577,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/fa01-ad.webp,,,,,,,,,,,0,,Asgard,UPC:0873876004577,,,1,,
BBH-AD,Asgard Brakeless Box Handle,,128.00,,Asgard Brakeless Box Handle,Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/bbh-ad.webp,,,,,,,,,,,0,,"Asgard, brakeless",,,,1,,
FBHE-AD,Asgard Extendable Flat Box Handle,,292.00,,"Experience the next level of drywall efficiency with Asgard Taping Tools by TapeTech, known for its durability and functionality without the added markup. The Asgard Extendable, Flat Box Handle, is compatible with all major brand Flat Boxes and provides exceptional control for a flawless finish. Featuring the innovative Brake Anywhere design, it eliminates wear issues common with the pinch brake system. This handle extends from 41"" to 63"", allowing you to reach more areas without needing stilts.",Asgard,873876004645,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/fbhe-ad.webp,,,,,,,,,,,0,,"Asgard, extendable, flat box, flat box handle",UPC:873876004645,,,1,,
XH-AD,Asgard Extendable Support Handle,,163.00,,Asgard Extendable Support Handle,Asgard,873876004744,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/xh-ad.webp,,,,,,,,,,,0,,"Asgard, extendable",UPC:873876004744,,,1,,
FH-AD,Asgard Fiberglass Handle,,43.00,,Asgard Fiberglass Support Handle,Asgard,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/fh-ad.webp,,,,,,,,,,,0,,"Asgard, fiberglass",,,,1,,
9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set),,3670.00,,Includes the following;,Asgard,0873876005376,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/9r-pir7-otnl.webp,,,,,,,,,,,0,,"Asgard, taping tool, tool set",UPC:0873876005376,,,1,,
GN01-AD,Asgard Gooseneck,,100.00,,"Elevate your drywall work with Asgard Taping Tools by TapeTech, offering unparalleled durability and functionality without the added markup. The Asgard Gooseneck is expertly designed to quickly and efficiently load your Automatic Taper with joint compound. Crafted from high-quality stainless steel, this gooseneck guarantees a secure and robust attachment to your loading pump. It is compatible with all traditional-style automatic tapers and major brand loading pumps.",Asgard,873876004584,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/gn01-ad.webp,,,,,,,,,,,0,,"Asgard, gooseneck",UPC:873876004584,,,1,,
CR01-AD,Asgard Inside Corner Roller,,161.00,,Asgard Inside Corner Roller,Asgard,873876004591,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/cr01-ad.webp,,,,,,,,,,,0,,"Asgard, corner roller, inside corner",UPC:873876004591,,,1,,
LP01-AD,Asgard Loading Pump,,378.00,,"Discover the durability and functionality of Asgard Taping Tools by TapeTech, all without the hefty markup. The Asgard Loading Pump, with its sleek black and vibrant blue exterior, is designed to efficiently fill drywall tools with joint compound using the Box Filler Fitting or an optional Gooseneck (sold separately). Its clamped pump tube ensures easy removal and clean-up, while the footplate provides extra stability during use. Compatible with all major brand attachments and automatic taping t",Asgard,0873876004560,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/lp01-ad.webp,,,,,,,,,,,0,,"Asgard, loading pump",UPC:0873876004560,,,1,,
HU-OI6G-88Y4,Asgard Starter Set,,2265.00,,Asgard Starter Set,Asgard,0873876005345,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/hu-oi6g-88y4.webp,,,,,,,,,,,0,,"Asgard, starter set",UPC:0873876005345,,,1,,
TF-DVKN-31Q3,Asgard Taping Set,,2400.00,,Asgard Taping set includes the following:,Asgard,0873876005338,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/tf-dvkn-31q3.webp,,,,,,,,,,,0,,Asgard,UPC:0873876005338,,,1,,
AT01-AD,Asgard “Hammer” Automatic Taper,,1271.00,,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the",Asgard,0873876004492,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Asgard/Products/at01-ad.webp,,,,,,,,,,,0,,"Asgard, automatic taper",UPC:0873876004492,,,1,,
809526-A2,Columbia #6 Belleville Washer,,,,#6 Belleville Washer (FA227),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809526-a2.webp,,,,,,,,,,,0,,,,,,1,,
805865-A,"Columbia 1/4-20 X 1-1/2"" Hex Bolt",,,,"1/4-20 X 1-1/2"" Hex Bolt (FA299)",Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
809526-A,Columbia 1/4-20 X 2in Hex Bolt,,,,1/4-20 X 2in Hex Bolt (FA300),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809526-a.webp,,,,,,,,,,,0,,,,,,1,,
FA-298,Columbia 1/4-20 X 7/8in Flat Socket,,,,1/4-20 X 7/8in Flat Socket (FA298),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-298.webp,,,,,,,,,,,0,,,,,,1,,
FA302,Columbia 1/4-28 X 1/4in Set Screw,,,,1/4-28 X 1/4in Set Screw (FA302),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa302.webp,,,,,,,,,,,0,,,,,,1,,
FA-288,Columbia 1/4in X 1/2in Split Pin,,,,1/4in X 1/2in Split Pin (FA288),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-288.webp,,,,,,,,,,,0,,,,,,1,,
59225-A,Columbia 10-32 Nyloc Jam Nut,,,,10-32 Nyloc Jam Nut (59225-A),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/59225-a.webp,,,,,,,,,,,0,,,,,,1,,
FA-308,Columbia 33/64 X 7/8in Flat Washer,,,,33/64 X 7/8in Flat Washer (FA308),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-308.webp,,,,,,,,,,,0,,,,,,1,,
FA209,"Columbia 4-40 X 1/8"" Flat Head Screw",,,,"4-40 X 1/8"" Flat Head Screw (FA209)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa209.webp,,,,,,,,,,,0,,,,,,1,,
FA220,"Columbia 4-40 X 3/4"" Bind Head Screw",,,,"4-40 X 3/4"" Bind Head Screw (FA220)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/FA220_0.webp,,,,,,,,,,,0,,,,,,1,,
FA-306,"Columbia 5/16-18 x 1 1/4"" Hex Bolt",,,,"5/16-18 x 1 1/4"" Hex Bolt (FA306)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/FA306_0.webp,,,,,,,,,,,0,,,,,,1,,
807224-A,Columbia Hex Nut,,,,6-32 Hex Nut (FA232),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/807224-a.webp,,,,,,,,,,,0,,,,,,1,,
808991,"Columbia 6-32 X 1/2"" Bind Head Screw",,,,"6-32 X 1/2"" Bind Head Screw (808991)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/808991.webp,,,,,,,,,,,0,,,,,,1,,
59091-A2,"Columbia 6-32 X 1/2"" Fill. Head Screw",,,,"6-32 X 1/2"" Fill. Head Screw (59091-A2)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/59091-a2.webp,,,,,,,,,,,0,,,,,,1,,
219081-A,"Columbia 6-32 X 3/16"" Flat Slot",,,,"6-32 X 3/16"" Flat Slot (219081-A)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/219081-a.webp,,,,,,,,,,,0,,,,,,1,,
FA247,"Columbia 6-32 X 5/8"" Hex Bolt",,,,"6-32 X 5/8"" Hex Bolt (FA247)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa247.webp,,,,,,,,,,,0,,,,,,1,,
809171,"Columbia 8-32 X 3/16"" Pan Slot",,,,"8-32 X 3/16"" Pan Slot (809171)",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809171.webp,,,,,,,,,,,0,,,,,,1,,
402006-A,Columbia AH18 - Angle Head Socket Wear Cup,,,,Angle Head Socket Wear Cup (AH18),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/402006-a.webp,,,,,,,,,,,0,,,,,,1,,
409010-A,Columbia AH1B - Return Spring Angle Head,,,,Return Spring Angle Head (AH1B),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/409010-a.webp,,,,,,,,,,,0,,,,,,1,,
402019-A,Columbia AH5 - Angle Head Frame Retainer Clip,,,,Angle Head Frame Retainer Clip (AH5),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
809011-A,Columbia Angle Box 5/16-18 X 3/4in Thumb Screw,,,,Angle Box 5/16-18 X 3/4in Thumb Screw (CFB10),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/809011-a.webp,,,,,,,,,,,0,,,,,,1,,
CFB16,Columbia Angle Box Bearing Sleeve,,,,Angle Box Bearing Sleeve (CFB16),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb16.webp,,,,,,,,,,,0,,,,,,1,,
CFB-15,Columbia Angle Box Door Hinge,,,,Angle Box Door Hinge (CFB15),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb-15.webp,,,,,,,,,,,0,,,,,,1,,
CFB11,Columbia Angle Box Door Stop,,,,Angle Box Door Stop (CFB11),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb11.webp,,,,,,,,,,,0,,,,,,1,,
CFB-15A,Columbia Angle Box Hinge Bushing,,,,Angle Box Hinge Bushing (CFB15A),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb-15a.webp,,,,,,,,,,,0,,,,,,1,,
CFB-1A,Columbia Angle Box Hinge Seal - CFB1A,,,,Angle Box Hinge Seal (CFB1A),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/CFB1A_0.webp,,,,,,,,,,,0,,,,,,1,,
354003F-A,Columbia Angle Box Mud Supply Valve Unit - CFB6,,,,Angle Box Mud Supply Valve Unit (CFB6),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/354003f-a.webp,,,,,,,,,,,0,,,,,,1,,
CFB-19,Columbia Angle Box Nylatron Bushing,,,,Angle Box Nylatron Bushing (CFB19),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb19.webp,,,,,,,,,,,0,,,,,,1,,
AH7-3,Columbia Angle Head Frame Tension Spring,,,,AH7-3 Angle Head Frame Tension Spring,Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah7-3.webp,,,,,,,,,,,0,,,,,,1,,
AH7-2,Columbia Angle Head Frame Tension Spring 2in,,,,Angle Head Frame Tension Spring 2in (AH7-2),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah7-2.webp,,,,,,,,,,,0,,,,,,1,,
AH7-3.5,Columbia Angle Head Frame Tension Spring 3.5in,,,,Angle Head Frame Tension Spring 3.5in (AH7-3.5),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah7-3-5.webp,,,,,,,,,,,0,,,,,,1,,
AH4,Columbia Angle Head Side Blade,,,,Angle Head Side Blade (AH4),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah4.webp,,,,,,,,,,,0,,,,,,1,,
BH2,Columbia Box Handle 180 Grip Plate,,,,Box Handle 180 Grip Plate (BH2),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/BH2_0.webp,,,,,,,,,,,0,,,,,,1,,
BH26,Columbia Box Handle Cam for 180 Handle,,,,Box Handle Cam for 180 Handle (BH26),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh26.webp,,,,,,,,,,,0,,,,,,1,,
BH6,Columbia Box Handle Hinge Pin,,,,Box Handle Hinge Pin (BH6),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/BH06_0.webp,,,,,,,,,,,0,,,,,,1,,
BH01,Columbia Box Handle Mounting Plate,,,,Box Handle Mounting Plate (BH01),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/BH01_0.webp,,,,,,,,,,,0,,,,,,1,,
809011-A2,Columbia Box Handle Thumb Screw (180 Degree Handle),,,,Box Handle Thumb Screw (180 Degree Handle) (BH13),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
BH-5,Columbia Box Handle Upper Mounting Bracket - BH5,,,,Box Handle Upper Mounting Bracket (BH5),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/BH5_0.webp,,,,,,,,,,,0,,,,,,1,,
CT-125A,Columbia CT125A - Columbia Taper Bearing,,,,Columbia Taper Bearing (CT125A),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-125a.webp,,,,,,,,,,,0,,,,,,1,,
50229-A,Columbia CT128 - Taper Shaft Guide Strap,,,,Taper Shaft Guide Strap (CT128),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
50232-A,Columbia CT129A - Taper Strap Bracket,,,,Taper Strap Bracket (CT129A),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
50226-A,Columbia CT129B - Taper Sleeve (Plastic Roller),,,,Taper Sleeve (Plastic Roller) (CT129B),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
CT-130,Columbia CT130 - Taper Extension Shaft,,,,Taper Extension Shaft (CT130),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-130.webp,,,,,,,,,,,0,,,,,,1,,
709043-A,Columbia CT132 - Taper Connecting Link,,,,Taper Connecting Link (CT132),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/709043-a.webp,,,,,,,,,,,0,,,,,,1,,
054048F-A,Columbia CT17 - Taper Separation Plate,,,,Taper Separation Plate (CT17),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/054048f-a.webp,,,,,,,,,,,0,,,,,,1,,
CT-19,Columbia CT19 - Taper Paper Feed Guide,,,,Taper Paper Feed Guide (CT19),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-19.webp,,,,,,,,,,,0,,,,,,1,,
59078-A,Columbia CT2 - Taper Insert Bushing,,,,Taper Insert Bushing (CT2),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/59078-a.webp,,,,,,,,,,,0,,,,,,1,,
050152F-A,Columbia CT23 - Taper Reinforcing Rod,,,,Taper Reinforcing Rod (CT23),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/050152f-a.webp,,,,,,,,,,,0,,,,,,1,,
CT-25,Columbia CT25 - Taper Knife Guide Square Tube,,,,Taper Knife Guide Square Tube (CT25),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-25.webp,,,,,,,,,,,0,,,,,,1,,
50141-A,Columbia CT27 - Taper Knife Guide Bracket Left,,,,Taper Knife Guide Bracket Left (CT27),Columbia Taping Tools,,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg,,,,,,,,,,,0,,,,,,1,,
CT-28,Columbia CT28 - Taper Roller Bushing,,,,Taper Roller Bushing (CT28),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/CT28_0.webp,,,,,,,,,,,0,,,,,,1,,
MH9,Columbia CTTMH9,,,,Columbia Matrix Pinch Brake Rod,Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/MH9_0.webp,,,,,,,,,,,0,,,,,,1,,
AH9A,Columbia Center Clip Assembly,,,,Center Clip Assembly (AH9A),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah9a.webp,,,,,,,,,,,0,,,,,,1,,
STAPER,"Columbia ""Sawed Off"" Mini Automatic Taper",,1649.29,,"The Columbia ""Sawed Off"" Mini Automatic Taper is the professional's go-to tool for confined spaces. At just 39 inches, it delivers full-size performance in stairwells, closets, and low-ceiling areas,",Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/staper.webp,,,,,,,,,,,0,,,,,,1,,
219064-A,Columbia #10 Belleville Washer,,,,Columbia #10 Belleville Washer (FA280),Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/219064-a.webp,,,,,,,,,,,0,,,,,,1,,
FA268,Columbia #10 Flat Washer,,,,Columbia #10 Flat Washer,Columbia Taping Tools,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/FA268_0.webp,,,,,,,,,,,0,,,,,,1,,
