brand,sku,universal_sku,name,source_url,output_file,status,error
LEVEL5,4-723,4-723,12” Flat Box,https://www.zoro.com/static/cms/product/large/Grainger_4xx723xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_723_01.webp,failed,http_404
LEVEL5,4-764,4-764,7” Flat Box (Standard),https://www.zoro.com/static/cms/product/large/Grainger_4xx764xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_764_01.webp,exists,
LEVEL5,4-765,4-765,10” Flat Box (Standard),https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_765_01.webp,exists,
LEVEL5,4-766,4-766,12” Flat Box (Standard),https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_766_01.webp,exists,
LEVEL5,4-770,4-770,14” Flat Box (Standard),https://www.zoro.com/static/cms/product/large/Grainger_4xx770xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_770_01.webp,exists,
LEVEL5,4-754,4-754,2” Nail Spotter,https://www.zoro.com/static/cms/product/large/Grainger_4xx754xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_754_01.webp,exists,
LEVEL5,4-755,4-755,3” Nail Spotter,https://www.zoro.com/static/cms/product/large/Grainger_4xx755xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_755_01.webp,exists,
LEVEL5,4-714,4-714,Gooseneck,https://www.zoro.com/static/cms/product/large/Grainger_4xx714xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_714_01.webp,exists,
LEVEL5,4-715,4-715,Box Filler,https://www.zoro.com/static/cms/product/large/Grainger_4xx715xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_715_01.webp,exists,
LEVEL5,4-741,4-741,Compound Tube,https://www.zoro.com/static/cms/product/large/Grainger_4xx741xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_741_01.webp,failed,http_404
LEVEL5,4-746,4-746,Outside Corner Tool,https://www.zoro.com/static/cms/product/large/Grainger_4xx746xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_746_01.webp,failed,http_404
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_01.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx3.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_02.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx9.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_03.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx5.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_04.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx7.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_05.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx4.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_06.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx6.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_07.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx8.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_08.webp,exists,
LEVEL5,4-760,4-760,Automatic Taper,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx2.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_760_09.webp,exists,
LEVEL5,4-771,4-771,Compound Pump,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_771_01.webp,exists,
LEVEL5,4-771,4-771,Compound Pump,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_771_02.webp,exists,
LEVEL5,4-771,4-771,Compound Pump,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_771_03.webp,exists,
LEVEL5,4-771,4-771,Compound Pump,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_771_04.webp,exists,
LEVEL5,4-772,4-772,MiniShot,https://www.zoro.com/static/cms/product/large/Grainger_4xx772xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_772_01.webp,failed,http_404
LEVEL5,4-773,4-773,MiniShot Ext. Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx773xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_773_01.webp,failed,http_404
LEVEL5,4-778,4-778,50” Fixed Handle (Corner Applicator),https://www.zoro.com/static/cms/product/large/Grainger_4xx778xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_778_01.webp,exists,
LEVEL5,4-779,4-779,50” Fixed Handle (Corner Finisher),https://www.zoro.com/static/cms/product/large/Grainger_4xx779xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_779_01.webp,exists,
LEVEL5,5-311,5-311,Drywall Banjo,https://www.zoro.com/static/cms/product/large/Grainger_5xx311xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_5_311_01.webp,failed,http_404
LEVEL5,5-623,5-623,Bonus Hand Tool Set,https://www.zoro.com/static/cms/product/large/Grainger_5xx623xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_5_623_01.webp,exists,
LEVEL5,4-600P,4-600P,The Entry to Automatic Finishing Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx600Pxx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_600p_01.webp,failed,http_404
LEVEL5,4-602,4-602,The Entry to Automatic Finishing Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx602xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_602_01.webp,exists,
LEVEL5,4-605,4-605,10”/12” Standard Boxes w/ Ext. Handle Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx605xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_605_01.webp,exists,
LEVEL5,4-629,4-629,10”/12” Mega Boxes w/ Ext. Handle Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx629xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_629_01.webp,exists,
LEVEL5,4-630,4-630,The Starter Taping Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx630xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_630_01.webp,failed,http_404
LEVEL5,4-650,4-650,Semi-Automatic Starter Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx650xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_650_01.webp,failed,http_404
LEVEL5,4-661P,4-661P,The Full Taping Set w/ Ext. Handles & MiniShot,https://www.zoro.com/static/cms/product/large/Grainger_4xx661Pxx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_661p_01.webp,failed,http_404
LEVEL5,4-677P,4-677P,The Ultimate Taping & Finishing Set,https://www.zoro.com/static/cms/product/large/Grainger_4xx677Pxx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_677p_01.webp,failed,http_404
LEVEL5,4-687P,4-687P,Finishing Set w/ Ext. Handles & MiniShot,https://www.zoro.com/static/cms/product/large/Grainger_4xx687Pxx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_687p_01.webp,failed,http_404
LEVEL5,4-600P::4-707,4-707,The Entry to Automatic Finishing - Corner Roller,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_707_01.webp,ok,
LEVEL5,4-600P::5-777,5-777,The Entry to Automatic Finishing - 50” Corner Roller Handle (as printed: 5-777),https://www.zoro.com/static/cms/product/large/Grainger_5xx777xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_5_777_01.webp,failed,http_404
LEVEL5,4-602::4-777,4-777,The Entry to Automatic Finishing - 54” Corner Roller Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx777xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_777_01.webp,ok,
LEVEL5,4-650::4-708,4-708,The Semi-Automatic Starter Set - Corner Roller,https://www.zoro.com/static/cms/product/large/Grainger_4xx708xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_708_01.webp,failed,http_404
LEVEL5,4-650::4-775,4-775,The Semi-Automatic Starter Set - Corner Roller/Nail Spotter Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx775xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_775_01.webp,failed,http_404
LEVEL5,4-661P::4-792,4-792,The Full Taping Set w/ Ext. Handles & MiniShot - 31”- 50” Corner Roller Handle,https://www.zoro.com/static/cms/product/large/Grainger_4xx792xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_792_01.webp,ok,
LEVEL5,4-677P::4-862,4-862,The Ultimate Taping & Finishing Set - Outsider Wheel Kit,https://www.zoro.com/static/cms/product/large/Grainger_4xx862xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_862_01.webp,ok,
LEVEL5,4-687P::4-623,4-623,Finishing Set w/ Ext. Handles & MiniShot - Bonus Hand Tool Set (as printed: 4-623),https://www.zoro.com/static/cms/product/large/Grainger_4xx623xx1.jpg,d:\AMD\projects\drywall-toolbox\products\Production\launch\launch_images\level5_4_623_01.webp,ok,
