type,brand,sku,mpn,row_id,image,path,stem_implies_sku,other_products,details
cross_linked_images,Asgard,AH-AD,,5,ah25-ad.webp,,ah25-ad,"[""AH25-AD""]","Image stem 'ah25-ad' implies a different product SKU (['AH25-AD', 'AH25-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah25-ad_01.webp,,ah25-ad,"[""AH25-AD""]","Image stem 'ah25-ad' implies a different product SKU (['AH25-AD', 'AH25-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah25-ad_02.webp,,ah25-ad,"[""AH25-AD""]","Image stem 'ah25-ad' implies a different product SKU (['AH25-AD', 'AH25-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah25-ad_03.webp,,ah25-ad,"[""AH25-AD""]","Image stem 'ah25-ad' implies a different product SKU (['AH25-AD', 'AH25-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah30-ad.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah30-ad_01.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah30-ad_02.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah30-ad_03.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah35-ad.webp,,ah35-ad,"[""AH35-AD""]","Image stem 'ah35-ad' implies a different product SKU (['AH35-AD', 'AH35-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah35-ad_01.webp,,ah35-ad,"[""AH35-AD""]","Image stem 'ah35-ad' implies a different product SKU (['AH35-AD', 'AH35-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah35-ad_02.webp,,ah35-ad,"[""AH35-AD""]","Image stem 'ah35-ad' implies a different product SKU (['AH35-AD', 'AH35-AD']), yet it is linked to AH-AD"
cross_linked_images,Asgard,AH-AD,,5,ah35-ad_03.webp,,ah35-ad,"[""AH35-AD""]","Image stem 'ah35-ad' implies a different product SKU (['AH35-AD', 'AH35-AD']), yet it is linked to AH-AD"
conflicting_images,,AH-AD,,5,ah30-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad.webp
conflicting_images,,AH25-AD,,6,ah25-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah25-ad.webp
conflicting_images,,AH25-AD,,6,ah25-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah25-ad_01.webp
conflicting_images,,AH25-AD,,6,ah25-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah25-ad_02.webp
conflicting_images,,AH25-AD,,6,ah25-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah25-ad_03.webp
conflicting_images,,AH30-AD,,7,ah30-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad.webp
conflicting_images,,AH30-AD,,7,ah30-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad_01.webp
conflicting_images,,AH30-AD,,7,ah30-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad_02.webp
conflicting_images,,AH30-AD,,7,ah30-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad_03.webp
conflicting_images,,AH35-AD,,8,ah35-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah35-ad.webp
conflicting_images,,AH35-AD,,8,ah35-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah35-ad_01.webp
conflicting_images,,AH35-AD,,8,ah35-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah35-ad_02.webp
conflicting_images,,AH35-AD,,8,ah35-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah35-ad_03.webp
conflicting_images,,CFA-AD,,11,cfa-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/cfa-ad.webp
conflicting_images,,CR01-AD,,12,cr01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/cr01-ad.webp
conflicting_images,,EZ10-AD,,15,ez10-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad.webp
conflicting_images,,EZ12-AD,,16,ez12-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad.webp
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad_01.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad_02.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad_03.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad_04.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez07-ad_05.webp,,ez07-ad,"[""EZ07-AD""]","Image stem 'ez07-ad' implies a different product SKU (['EZ07-AD', 'EZ07-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad_01.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad_02.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad_03.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad_04.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez10-ad_05.webp,,ez10-ad,"[""EZ10-AD""]","Image stem 'ez10-ad' implies a different product SKU (['EZ10-AD', 'EZ10-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad_01.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad_02.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad_03.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad_04.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
cross_linked_images,Asgard,EZFB-AD,,17,ez12-ad_05.webp,,ez12-ad,"[""EZ12-AD""]","Image stem 'ez12-ad' implies a different product SKU (['EZ12-AD', 'EZ12-AD']), yet it is linked to EZFB-AD"
conflicting_images,,EZFB-AD,,17,ez07-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad.webp
conflicting_images,,EZFB-AD,,17,ez07-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad_01.webp
conflicting_images,,EZFB-AD,,17,ez07-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad_02.webp
conflicting_images,,EZFB-AD,,17,ez07-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad_03.webp
conflicting_images,,EZFB-AD,,17,ez07-ad_04.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad_04.webp
conflicting_images,,EZFB-AD,,17,ez07-ad_05.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez07-ad_05.webp
conflicting_images,,EZFB-AD,,17,ez10-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad.webp
conflicting_images,,EZFB-AD,,17,ez10-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad_01.webp
conflicting_images,,EZFB-AD,,17,ez10-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad_02.webp
conflicting_images,,EZFB-AD,,17,ez10-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad_03.webp
conflicting_images,,EZFB-AD,,17,ez10-ad_04.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad_04.webp
conflicting_images,,EZFB-AD,,17,ez10-ad_05.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez10-ad_05.webp
conflicting_images,,EZFB-AD,,17,ez12-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad.webp
conflicting_images,,EZFB-AD,,17,ez12-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad_01.webp
conflicting_images,,EZFB-AD,,17,ez12-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad_02.webp
conflicting_images,,EZFB-AD,,17,ez12-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad_03.webp
conflicting_images,,EZFB-AD,,17,ez12-ad_04.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad_04.webp
conflicting_images,,EZFB-AD,,17,ez12-ad_05.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ez12-ad_05.webp
conflicting_images,,FA01-AD,,18,fa01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/fa01-ad.webp
conflicting_images,,FBHE-AD,,19,fbhe-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/fbhe-ad.webp
conflicting_images,,FH-AD,,20,fh-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/fh-ad.webp
conflicting_images,,GN01-AD,,21,gn01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/gn01-ad.webp
conflicting_images,,LP01-AD,,23,lp01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/lp01-ad.webp
cross_linked_images,Asgard,PAFB-AD,,28,pa07-ad.webp,,pa07-ad,"[""PA07-AD""]","Image stem 'pa07-ad' implies a different product SKU (['PA07-AD', 'PA07-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa07-ad_01.webp,,pa07-ad,"[""PA07-AD""]","Image stem 'pa07-ad' implies a different product SKU (['PA07-AD', 'PA07-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa07-ad_02.webp,,pa07-ad,"[""PA07-AD""]","Image stem 'pa07-ad' implies a different product SKU (['PA07-AD', 'PA07-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa07-ad_03.webp,,pa07-ad,"[""PA07-AD""]","Image stem 'pa07-ad' implies a different product SKU (['PA07-AD', 'PA07-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa10-ad.webp,,pa10-ad,"[""PA10-AD""]","Image stem 'pa10-ad' implies a different product SKU (['PA10-AD', 'PA10-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa10-ad_01.webp,,pa10-ad,"[""PA10-AD""]","Image stem 'pa10-ad' implies a different product SKU (['PA10-AD', 'PA10-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa10-ad_02.webp,,pa10-ad,"[""PA10-AD""]","Image stem 'pa10-ad' implies a different product SKU (['PA10-AD', 'PA10-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa10-ad_03.webp,,pa10-ad,"[""PA10-AD""]","Image stem 'pa10-ad' implies a different product SKU (['PA10-AD', 'PA10-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa12-ad.webp,,pa12-ad,"[""PA12-AD""]","Image stem 'pa12-ad' implies a different product SKU (['PA12-AD', 'PA12-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa12-ad_01.webp,,pa12-ad,"[""PA12-AD""]","Image stem 'pa12-ad' implies a different product SKU (['PA12-AD', 'PA12-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa12-ad_02.webp,,pa12-ad,"[""PA12-AD""]","Image stem 'pa12-ad' implies a different product SKU (['PA12-AD', 'PA12-AD']), yet it is linked to PAFB-AD"
cross_linked_images,Asgard,PAFB-AD,,28,pa12-ad_03.webp,,pa12-ad,"[""PA12-AD""]","Image stem 'pa12-ad' implies a different product SKU (['PA12-AD', 'PA12-AD']), yet it is linked to PAFB-AD"
conflicting_images,,PAFB-AD,,28,pa07-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa07-ad.webp
conflicting_images,,PAFB-AD,,28,pa07-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa07-ad_01.webp
conflicting_images,,PAFB-AD,,28,pa07-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa07-ad_02.webp
conflicting_images,,PAFB-AD,,28,pa07-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa07-ad_03.webp
conflicting_images,,PAFB-AD,,28,pa10-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa10-ad.webp
conflicting_images,,PAFB-AD,,28,pa10-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa10-ad_01.webp
conflicting_images,,PAFB-AD,,28,pa10-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa10-ad_02.webp
conflicting_images,,PAFB-AD,,28,pa10-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa10-ad_03.webp
conflicting_images,,PAFB-AD,,28,pa12-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa12-ad.webp
conflicting_images,,PAFB-AD,,28,pa12-ad_01.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa12-ad_01.webp
conflicting_images,,PAFB-AD,,28,pa12-ad_02.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa12-ad_02.webp
conflicting_images,,PAFB-AD,,28,pa12-ad_03.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/pa12-ad_03.webp
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,lp01-ad.webp,,lp01-ad,"[""LP01-AD""]","Image stem 'lp01-ad' implies a different product SKU (['LP01-AD', 'LP01-AD']), yet it is linked to TF-DVKN-31Q3"
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,gn01-ad.webp,,gn01-ad,"[""GN01-AD""]","Image stem 'gn01-ad' implies a different product SKU (['GN01-AD', 'GN01-AD']), yet it is linked to TF-DVKN-31Q3"
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,ah30-ad.webp,,ah30-ad,"[""AH30-AD""]","Image stem 'ah30-ad' implies a different product SKU (['AH30-AD', 'AH30-AD']), yet it is linked to TF-DVKN-31Q3"
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,cr01-ad.webp,,cr01-ad,"[""CR01-AD""]","Image stem 'cr01-ad' implies a different product SKU (['CR01-AD', 'CR01-AD']), yet it is linked to TF-DVKN-31Q3"
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,cfa-ad.webp,,cfa-ad,"[""CFA-AD""]","Image stem 'cfa-ad' implies a different product SKU (['CFA-AD', 'CFA-AD']), yet it is linked to TF-DVKN-31Q3"
cross_linked_images,Asgard,TF-DVKN-31Q3,,29,xh-ad.webp,,xh-ad,"[""XH-AD""]","Image stem 'xh-ad' implies a different product SKU (['XH-AD', 'XH-AD']), yet it is linked to TF-DVKN-31Q3"
conflicting_images,,TF-DVKN-31Q3,,29,lp01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/lp01-ad.webp
conflicting_images,,TF-DVKN-31Q3,,29,gn01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/gn01-ad.webp
conflicting_images,,TF-DVKN-31Q3,,29,ah30-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ah30-ad.webp
conflicting_images,,TF-DVKN-31Q3,,29,cr01-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/cr01-ad.webp
conflicting_images,,TF-DVKN-31Q3,,29,cfa-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/cfa-ad.webp
conflicting_images,,XH-AD,,30,xh-ad.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/xh-ad.webp
cross_linked_images,Columbia Taping Tools,10FFBA,,34,10ffb.webp,,10ffb,"[""10FFB""]","Image stem '10ffb' implies a different product SKU (['10FFB', '10FFB']), yet it is linked to 10FFBA"
conflicting_images,,10FFBA,,34,10ffb.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/10ffb.webp
cross_linked_images,Columbia Taping Tools,12ITFB,,40,10itfb.webp,,10itfb,"[""10ITFB""]","Image stem '10itfb' implies a different product SKU (['10ITFB', '10ITFB']), yet it is linked to 12ITFB"
conflicting_images,,12ITFB,,40,10itfb.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/10itfb.webp
products_missing_images,Columbia Taping Tools,8FFBA,8FFBA,78,,,,,No images matched in Products/ directory
products_missing_images,Columbia Taping Tools,AH73,AH73,88,,,,,No images matched in Products/ directory
cross_linked_images,Columbia Taping Tools,AHRBK2,,93,ahrbk25_0.webp,,ahrbk25,"[""AHRBK25""]","Image stem 'ahrbk25' implies a different product SKU (['AHRBK25', 'AHRBK25']), yet it is linked to AHRBK2"
conflicting_images,,AHRBK25,,94,ahrbk25_0.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ahrbk25_0.webp
cross_linked_images,Columbia Taping Tools,AHRBK3,,95,ahrbk35.webp,,ahrbk35,"[""AHRBK35""]","Image stem 'ahrbk35' implies a different product SKU (['AHRBK35', 'AHRBK35']), yet it is linked to AHRBK3"
conflicting_images,,AHRBK35,,96,ahrbk35.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/ahrbk35.webp
conflicting_images,,AUTOMATICFLATBOXES,,98,no-image-placeholder.webp,,,,Image already assigned to another product: /home/runner/work/drywall-toolbox/drywall-toolbox/scripts/scraped_results/Products/no-image-placeholder.webp
