"sku","mpn","name","manufacturer","style","price","in_stock","short_description","full_description","image_urls","product_url"
"10128","10128","TapeTech Full Set (Configurable)","TapeTech","Automatic Taper","$4,547.00","Yes","","TapeTech Full Set will give the drywall professional or remodeler everything necessary to complete most projects. TapeTech drywall tools for taping and complete finishing of drywall corners, flats and butt joints. TapeTech Taping Tools are known worldwide, and can be considered the most recognized drywall tools for automatic taping and finishing. Tape Tech Taping Tools by Ames offer a 5 year warranty against manufacturer defects. Tape & Finish drywall with maximum speed and flexibility. Box handle controls flat box position for comfortable, efficient sheetrock finishing. Flat Boxes dispense just the right amount of mud compound for excellent sheetrock finishing. Choose Standard, EasyClean® or PowerAssist® Flat boxes Minimize sanding by using precision angle head, also known as corner finisher or glazer.","https://www.shopamestools.com/Item_Images_AMES/10128_TapeTechSetConfigurable_001.jpg","https://www.shopamestools.com/TapeTech-Tools-Full-Set"
"10354","10354","TapeTech JUMBO PRO™ Set (Configurable)","TapeTech","Automatic Taper","$6,415.00","Yes","","TapeTech Jumbo Pro Set will give the drywall professional or remodeler everything necessary to complete most projects. TapeTech drywall tools for taping and complete finishing of drywall corners, flats, butt joints and screw and nail heads. TapeTech Taping Tools are known worldwide, and can be considered the most recognized drywall tools for automatic taping and finishing. Tape Tech Taping Tools by Ames offer a 5 year warranty against manufacturer defects. Tape & Finish drywall with maximum speed and flexibility. Multiple box handles help you reach the high spots and comfortably finish walls. Flat Boxes dispense just the right amount of mud compound for excellent sheetrock finishing. Choose Standard, EasyClean® or PowerAssist® Flat boxes 2 pumps allow maximum production. Minimize sanding by using 2 angle heads, also known as corner finishers or glazers. Nail Spotters make quick work of the most tedious of all finishing tasks.","https://www.shopamestools.com/Item_Images_AMES/10354_TapeTechSetConfigurable_001.jpg","https://www.shopamestools.com/TapeTech-Jumbo-Pro-Set"
"10355","10355","TapeTech Taping Tools Drywall Finishing Set (Configurable)","TapeTech","Roller w/ Handle","$2,740.00","Yes","","TapeTech Finish Set will help improve production for drywall professionals or remodelers alike. TapeTech Taping Tools are known worldwide, and can be considered the most recognized drywall tools for automatic taping and finishing. The Tape Tech Finish Set includes drywall tools for second phase taping and complete finishing tools. The TapeTech Taping Tools Finishing set is modeled after the drywall tool full set, and includes all components of the full set minus the automatic drywall taper and gooseneck. Finish drywall corners automatically as well as flat and butt joints with this TapeTech by Ames ® drywall tool set. Finish drywall with maximum speed and flexibility. Box handle controls flat box position for comfortable, efficient sheetrock finishing. Choose length best for your projects. Flat Boxes dispense just the right amount of mud compound for excellent sheetrock finishing. Choose Standard, EasyClean® or PowerAssist® Flat boxes Minimize sanding by using precision angle head, also known as corner finisher or glazer.","https://www.shopamestools.com/Item_Images_AMES/10355_TapeTechSetConfigurable_001.jpg","https://www.shopamestools.com/TapeTech-Tools-Finish-Set"
"10356","10356","TapeTech Drywall Tools Flat Box Set (Configurable)","TapeTech","Flat Box 1","$1,654.00","Yes","","TapeTech Taping Tools Flat Box Combo Set will give the drywall professional or remodeler everything necessary to complete most projects. Tape Tech drywall tools are recognized around the world, and this extra value Tape Tech Taping Tool package is a great starting point or addition to any drywall tool set. This TapeTech Tool Set finishes drywall flat joints, and includes a handle and drywall loading pump. The TapeTech Taping Tools by Ames Flat Box Combo Includes: Box handle controls flat box position for comfortable, efficient sheetrock finishing. Choose Box Handle Length to best suit your drywall finishing needs. Flat Boxes dispense just the right amount of mud compound for excellent sheetrock finishing. Choose Standard, EasyClean® or PowerAssist® Flat boxes","https://www.shopamestools.com/Item_Images_AMES/10356_TapeTechSetConfigurable_001.jpg","https://www.shopamestools.com/TapeTech-Flat-Box-Combo-Set"
"12197","85T","TapeTech Gooseneck 85T","TapeTech","","$105.00","No","","The TapeTech 85T Gooseneck Adapter can be used with the TapeTech 72TT/73TT/76TT loading pumps to fill your automatic taper. It features an integrated foot to improve stability, and has a heavy duty build for years of service.","https://www.shopamestools.com/Item_Images_AMES/12197_TapeTechGooseneck_001.jpg","https://www.shopamestools.com/TapeTech-Gooseneck"
"12389","16TT","TapeTech Mud Applicator Head 90 Outside 16TT","TapeTech","","$85.00","No","","TapeTech Mud Applicator Head 90º Outside 16TT Apply a consistent base coat of joint compound for the cleanest and most efficient installation of paper-faced corner bead. The Mud Head applies the correct amount of joint compound to maximize adhesion and reduce clean up. Attach the 16TT Mud Head to a Corner Applicator (35TT or 50TT) or the 14TT MudRunner® to simplify and accelerate installation of paper-faced corner bead for external (outside) drywall corners. Features: Attaches via locking clip to all brands of Angle Box, Mudrunner, TapeTech Mud Tubes, and Columbia Mud Tubes Heavy-duty plastic construction reduces friction, and promotes smooth application Works with nearly all shapes of outside paper-faced corner bead","https://www.shopamestools.com/Item_Images_AMES/12389_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12389_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12389_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12389_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/12389_media_5.jpg | https://www.shopamestools.com/Item_Images_AMES/12389_media_6.jpg","https://www.shopamestools.com/TapeTech-MudHead90Degree"
"12390","16TT90","TapeTech Mud Applicator Head 90 Inside 16TT90","TapeTech","","$85.00","No","","TapeTech Mud Applicator Head 90º Inside TT16 TapeTech Mud Heads apply a consistent base coat of joint compound for the cleanest and most efficient installation of paper-faced corner bead. The Mud Head applies the correct amount of joint compound to maximize adhesion and reduce clean up. Attach the 16TT90 Mud Head to a Corner Applicator (35TT or 50TT) or the 14TT MudRunner® to simplify and accelerate installation of paper-faced corner bead for (internal) drywall corners. Features: Attaches via locking clip to all brands of Angle Box, Mudrunner, TapeTech Mud Tubes, and Columbia Mud Tubes Heavy-duty plastic construction reduces friction, and promotes smooth application Works with nearly all shapes of inside paper-faced corner bead","https://www.shopamestools.com/Item_Images_AMES/12390_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12390_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12390_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12390_media_4.jpg","https://www.shopamestools.com/TapeTech-Mud-Head-90Inside"
"12391","90T","TapeTech Box Filler 90TT","TapeTech","","$79.00","No","","The TapeTech 90T Filler Adapter is a new and improved design with a single cast piece rather than a two piece design for extra durability. The filler attaches to the TapeTech 72TT, 73TT & 76TT EasyClean® Pumps to fill Corner Applicators, Nail Spotters and Flat, EasyClean® or Power Assist™ Finishing boxes with joint compound.","https://www.shopamestools.com/Item_Images_AMES/12391_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12391_media_2.jpg","https://www.shopamestools.com/TapeTech-Box-Filler"
"12568","76TT w/90T","TapeTech EasyClean® Loading Pump With Filler","TapeTech","","$478.00","Yes","","The TapeTech EasyClean® Drywall Mud Pump Model - 76TT with Box Filler - 90T A great combination! With this kit you are ready to start filling any of your Finishing Boxes, Corner Applicators and Nail Spotters. This pump will work with all major brand automatic taping and finishing tools. Optional Gooseneck available to fill your Automatic Tapers. Features: Easy Clean® quick release foot valve has a twist-lock design for removal without tools. New integrated gasket design provides a better seal and makes disposable paper gaskets obsolete. The new streamlined head design makes cylinder removal and cleaning a breeze. The TapeTech Advantages Easy to maintain and clean with removable tube. Low friction components increase suction. Anodized gold tube extends durability. Quick release handle pin aids in cleaning and transport. Includes TapeTech 90T Box Filler","https://www.shopamestools.com/Item_Images_AMES/12568_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12568_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12568_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12568_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/12568_media_5.jpg","https://www.shopamestools.com/TapeTech-Loading-Pump-With-Filler"
"12582","17TT","TapeTech Outside Corner Roller 17TT","TapeTech","","$170.00","No","","TapeTech Outside Corner Roller 17TT Firmly embeds paper-faced corner bead on external drywall corners and removes the excess joint compound from beneath it. The nylon rollers provide a smooth surface to prevent damage to the corner bead. This is for the head only, handles are available separately. Features: Embeds paper faced outside corner bead into compound or adhesive Easy Clean Up","https://www.shopamestools.com/Item_Images_AMES/12582_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12582_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12582_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12582_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/12582_media_5.jpg | https://www.shopamestools.com/Item_Images_AMES/12582_media_6.jpg","https://www.shopamestools.com/TapeTech-Outside-CornerRoller-17ATT"
"12622","03TT","TapeTech EasyClean Automatic Mini Taper 03TT","TapeTech","","$1,775.00","No","","The TapeTech Mini Taper has the quality and features you expect from TapeTech but now in a Limited Edition Mini size. You can expect great things to come in small packages with the the latest from TapeTech! Perfect for working in tight spaces where you can't fit a standard size taper! Mini Taper Length: 41 inches (104 cm) vs. Standard Taper length of 53 inches (134 cm). QUICK-CHANGE TAPE BAIL locks into place, making it easy to change tape rolls without having to put the taper down. Best of all, there are no loose parts to misplace or re-install. To change tape rolls, grasp the tape retainer wire near the end of the spool post and depress it down and out through the retainer slot. Swing the retainer wire up and out of the way, change tape rolls, sliding the new roll fully onto the spool post. Swing the retainer wire back down, and guide it into the retainer slot. It’s that simple! NO HASSLE CABLE CHANGES. The plunger stop has been improved to simplify cable changes. The metal and exposed screw heads have been replaced with a smooth, rounded, plastic plunger stop that is easy to remove and re-install. To remove the plunger stop, lift the locking tab and twist the stop ¼ turn counterclockwise. After twisting, pull the stop off the taper and complete the cable change following the normal procedure (see Cable Replacement). To re-install, align the guide tabs to the slots and slide the stop into the taper end, twisting ¼ turn clockwise. Continue twisting until the tab snaps into place, locking the assembly together. If oriented correctly, very little force should be required to install the stop. Changing a cable has never been easier! All TapeTech tools come with an industry-best 5-year limited warranty. Additionally, the tools can be serviced through All-Wall with 2 authorized warranty and repair locations.","https://www.shopamestools.com/Item_Images_AMES/12622_media_1.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_4.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_5.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_6.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_7.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_8.jpg | https://www.shopamestools.com/Item_Images_AMES/12622_media_9.jpg","https://www.shopamestools.com/TapeTech-Mini-Taper"
"12649","15TTE/XHTT","TapeTech Corner Roller w/ TapeTech Extendable Handle","TapeTech","","$368.00","Yes","","TapeTech 15TTE Corner Roller with XHTT Interchangeable Aluminum Extender Handle is the newest version standard angle roller. The 15TTE Corner Roller head incorporates several new design elements that make it easier to clean and operate. The wheels are a departure from the old reversible steel wheels - Replaced with stainless steel roller wheels filled with plastic. The new design washes easier, keeps mud from caking up the wheels, and eliminates stuck wheels. The wheels are attached with a stud design that inhibits wear, and eases friction. Combine the Roller with TapeTech's new XHTT D-Shaped Interchangeable 43""-77"" Extendable Aluminum Handle, and you're covered from floor to ceiling. The corner roller drywall tool is used to embed drywall paper tape firmly into the corner in preparation for use with a corner finisher angle head. All TapeTech tools come with an industry-best 5-year limited warranty. Additionally, the tools can be serviced through All-Wall with 2 authorized warranty and repair locations. For over 25 years, TapeTech has served the needs of the drywall industry, producing tools of uncompromising quality, durability and performance. TapeTech’s engineers are continuously designing new tools and improving existing tools to make the job of the finishing professional easier. TapeTech Corner Roller with XHTT Handle Features: Steel Rollers with Plastic Interior provides smooth operation, and are easy to clean Lightweight and fast tool to bed the tape into inside corners forming a sharp corner at the same time. Can embed tape in 12-foot high corners while standing on the floor. Includes TapeTech XHTT Interchangeable 43""-77"" Aluminum Extendable Handle Handle diameter of 1.25"" is larger and more comfortable than previous versions D-Shaped XHTT handle fits the TapeTech Angle Boxes, Nail Spotters and Corner Finishers with available adapters","https://www.shopamestools.com/Item_Images_AMES/12649_media_001.jpg | https://www.shopamestools.com/Item_Images_AMES/12649_media_2.jpg | https://www.shopamestools.com/Item_Images_AMES/12649_media_3.jpg | https://www.shopamestools.com/Item_Images_AMES/12649_media_4.jpg","https://www.shopamestools.com/TapeTech-Corner-Roller-w-Extendable-Handle"
