Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
05TT,EasyClean Pump,873876000982,42,8,8,10,107,21,21,4.5359237
05TTE,EasyClean Pump with Gooseneck,873876000999,42,8,8,11,107,21,21,4.98951607
02TT,Gooseneck,873876001002,20,7,3,2.3,51,18,8,1.043262451
03TT,Filler Adapter,873876001019,7,4,4,0.5,18,11,11,0.226796185
04TT,EasyClean Pump Seal,873876001026,4,4,1,0.1,11,11,3,0.045359237000000004
10TT,Automatic Taper Repair Kit,873876001033,8,6,2,0.6,21,16,6,0.272155422
11TT,Finishing Box Repair Kit,873876001040,8,6,2,0.6,21,16,6,0.272155422
12TT,Corner Finisher Repair Kit,873876001057,8,6,2,0.4,21,16,6,0.181436948
13TT,Corner Roller Repair Kit,873876001064,8,6,2,0.4,21,16,6,0.181436948
14TT-RK,MudRunner Repair Kit,873876001071,8,6,2,0.5,21,16,6,0.226796185
15TT-RK,Inside Corner Roller Repair Kit,873876001088,8,6,2,0.4,21,16,6,0.181436948
16TT-RK,Mud Head Repair Kit,873876001095,8,6,2,0.3,21,16,6,0.136077711
17TT-RK,Outside Corner Roller Repair Kit,873876001101,8,6,2,0.4,21,16,6,0.181436948
20TT-RK,Finishing Box Repair Kit 7 in,873876001118,8,6,2,0.6,21,16,6,0.272155422
25TT-RK,Finishing Box Repair Kit 10 in,873876001125,8,6,2,0.6,21,16,6,0.272155422
30TT-RK,Finishing Box Repair Kit 12 in,873876001132,8,6,2,0.6,21,16,6,0.272155422
35TT-RK,Corner Applicator Repair Kit,873876001149,8,6,2,0.4,21,16,6,0.181436948
40TT-RK,Corner Finisher Repair Kit 2 in,873876001156,8,6,2,0.4,21,16,6,0.181436948
42TT-RK,Corner Finisher Repair Kit 2.5 in,873876001163,8,6,2,0.4,21,16,6,0.181436948
45TT-RK,Corner Finisher Repair Kit 3 in,873876001170,8,6,2,0.4,21,16,6,0.181436948
48TT-RK,Adjustable Corner Finisher Repair Kit 3 in,873876001187,8,6,2,0.4,21,16,6,0.181436948
50TT-RK,Corner Finisher Repair Kit 3.5 in,873876001194,8,6,2,0.4,21,16,6,0.181436948
52TT-RK,Adjustable Corner Finisher Repair Kit 3.5 in,873876001200,8,6,2,0.4,21,16,6,0.181436948
55TT-RK,Corner Finisher Repair Kit 4 in,873876001217,8,6,2,0.4,21,16,6,0.181436948
58TT-RK,Adjustable Corner Finisher Repair Kit 4 in,873876001224,8,6,2,0.4,21,16,6,0.181436948
70TT-RK,Corner Finisher Handle Repair Kit,873876001231,8,6,2,0.4,21,16,6,0.181436948
72TT-RK,Extendable Corner Finisher Handle Repair Kit,873876001248,8,6,2,0.5,21,16,6,0.226796185
BHE-RK,Extendable Box Handle Repair Kit,873876001255,8,6,2,0.6,21,16,6,0.272155422
BHE-SW-RK,Extendable Swivel Box Handle Repair Kit,873876001262,8,6,2,0.6,21,16,6,0.272155422
BH-RK,Box Handle Repair Kit,873876001279,8,6,2,0.5,21,16,6,0.226796185
05TT-RK,Pump Repair Kit,873876001286,8,6,2,0.7,21,16,6,0.317514659
07TT-RK,Automatic Taper Repair Kit,873876001293,8,6,2,0.6,21,16,6,0.272155422
14TT-RK2,MudRunner Repair Kit Advanced,873876001309,8,6,2,0.7,21,16,6,0.317514659
QB6033 - 5,QuickBox™ QSX Blades : For Exterior Seaming (Yellow) – 5 pack,873876002566,11,4,0.5,0.1,28,10,1,0.045359237000000004
QB6043 - 5,QuickBox™ QSX Blades: Notched for Adhesives (Green) – 5 pack,873876002573,11,4,0.5,0.1,28,10,1,0.045359237000000004
