
Brand,Category,Product_Name,Variation/Size,MPN,Key_Features,Reason_for_Inclusion,Source_Citation
Columbia,Applicator Heads,Outside 90° Applicator 325,Plastic,OA90-325,Wider outside 90° plastic applicator for 3.25” profiles; durable UHMW construction.,Accommodates wider outside corner trims.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%20ICATW%20ICA2,Plastic
Columbia,Automatic Boxes,Automatic Fat Boy Box,10”,10FBBA,High-capacity automatic box holds more compound; automatic springs reduce push effort; billet construction.,Combines Fat Boy capacity with automatic functionality.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Flat Box,10”,10FFBA,Automatic flat box reduces push effort by engaging springs; adjustable tension; converts standard boxes to inside track; billet aluminum construction.,Reduces user fatigue by applying pressure automatically.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Fat Boy Box,12”,12FBBA,High-capacity automatic box holds more compound; automatic springs reduce push effort; billet construction.,Combines Fat Boy capacity with automatic functionality.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Flat Box,12”,12FFBA,Automatic flat box reduces push effort by engaging springs; adjustable tension; converts standard boxes to inside track; billet aluminum construction.,Reduces user fatigue by applying pressure automatically.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Flat Box,14”,14FFBA,Automatic flat box reduces push effort by engaging springs; adjustable tension; converts standard boxes to inside track; billet aluminum construction.,Reduces user fatigue by applying pressure automatically.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Fat Boy Box,8”,8FBBA,High-capacity automatic box holds more compound; automatic springs reduce push effort; billet construction.,Combines Fat Boy capacity with automatic functionality.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Boxes,Automatic Flat Box,8”,8FFBA,Automatic flat box reduces push effort by engaging springs; adjustable tension; converts standard boxes to inside track; billet aluminum construction.,Reduces user fatigue by applying pressure automatically.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Box%20Inside%20Track%20Conversion%20Kit
Columbia,Automatic Tapers,Columbia Predator Automatic Taper,"Predator (Carbon Fiber, 53"" length)",PTAPER,Carbon fiber and steel construction for reduced weight and durability; cam-lock cap with quick release; adjustable brake; pump action sleeve; ergonomic trigger,Lighter carbon fiber model for reduced fatigue while maintaining durability.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,39%E2%80%9D%20length
Columbia,Automatic Tapers,Columbia Predator Sawed Off Taper,"Predator Sawed Off (Carbon Fiber, 39"" length)",SPTAPER,Carbon fiber construction; compact 39-inch length; cam-lock cap; adjustable brake; pump action sleeve,Combines lightweight carbon fiber with compact size for best maneuverability.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,39%E2%80%9D%20length
Columbia,Automatic Tapers,Columbia Sawed Off Taper,"Sawed Off (39"" length)",STAPER,Compact 39-inch length for tight spaces like closets; durable construction; ergonomic trigger; pump action sleeve; adjustable brake,Shorter length ideal for confined spaces without sacrificing performance.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,39%E2%80%9D%20length
Columbia,Automatic Tapers,Columbia Automatic Taper,"Standard (53"" length)",TAPER,Durable anodized aluminum and stainless steel construction; cam-lock cap with quick release for easy cleaning; cable release system; ergonomic trigger and pull ring; pump action sleeve for smooth cutting; adjustable brake on taper wheel,"Core automatic taper for professional drywall finishing, delivering precision and efficiency.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,39%E2%80%9D%20length
Columbia,Automatic Tapers,Columbia Tall Boy Predator Taper,"Tall Boy (72"" length)",TBTAPER,Extra-long carbon fiber body for high ceilings; same features as Predator series with ergonomic handle and adjustable brake.,Allows finishing high ceilings without stilts.,www.columbiatools.com/wp-content/uploads/2025/04/customercatalogue2025.pdf#:~:text=9%20Item%20No,72%E2%80%9D%20length%29%20GET%20SOCIAL
Columbia,Compound Tubes,Cam Lock Tube,24”,CLT24,Cam-lock closure for fast filling and cleaning; durable tube available in multiple lengths.,Provides easy access for maintenance and filling.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Cam Lock Tube,32”,CLT32,Cam-lock closure for fast filling and cleaning; durable tube available in multiple lengths.,Provides easy access for maintenance and filling.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Cam Lock Tube,42”,CLT42,Cam-lock closure for fast filling and cleaning; durable tube available in multiple lengths.,Provides easy access for maintenance and filling.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Cam Lock Tube,55”,CLT55,Cam-lock closure for fast filling and cleaning; durable tube available in multiple lengths.,Provides easy access for maintenance and filling.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Compound Tube,24”,CMT24,Durable tube for applying compound through applicator heads; smooth extrusion; available in multiple lengths.,Delivers compound to heads without pressurizing; essential for semi-automatic setups.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Compound Tube,32”,CMT32,Durable tube for applying compound through applicator heads; smooth extrusion; available in multiple lengths.,Delivers compound to heads without pressurizing; essential for semi-automatic setups.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Compound Tube,42”,CMT42,Durable tube for applying compound through applicator heads; smooth extrusion; available in multiple lengths.,Delivers compound to heads without pressurizing; essential for semi-automatic setups.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Compound Tubes,Compound Tube,55”,CMT55,Durable tube for applying compound through applicator heads; smooth extrusion; available in multiple lengths.,Delivers compound to heads without pressurizing; essential for semi-automatic setups.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Corner Boxes,Corner Flusher Box,7”,7CFB,Billet construction; automatic capabilities reduce effort by ~50%; adjustable spring tension; thumb-release door stop; stainless steel valve.,Enables quick coating of corners with minimal push.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Throttle%20Box%20is%20another,7CFB%208CFB
Columbia,Corner Boxes,Corner Flusher Box,8”,8CFB,Large 8-inch width for wider corners; same billet construction and features as 7” box.,Provides size option for larger corner joints.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Throttle%20Box%20is%20another,7CFB%208CFB
Columbia,Corner Flushers,Combo Corner Flusher,2.5” Combo,2.5CSF,Combo flusher merges features of standard and direct flushers; includes wheels for smooth glide.,Versatile flusher handling various corner profiles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Direct Corner Flusher,2.5” Direct,2.5DF,Direct flusher design with wheels; provides direct mud application and finish.,Alternative style for corners providing different flow characteristics.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Standard Corner Flusher,2.5” Standard,2.5SF,Hand-ground and quality checked; wheels for smooth glide; durable construction.,"Provides clean, feathered finish in corners.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Combo Corner Flusher,3.5” Combo,3.5CSF,Combo flusher merges features of standard and direct flushers; includes wheels for smooth glide.,Versatile flusher handling various corner profiles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Direct Corner Flusher,3.5” Direct,3.5DF,Direct flusher design with wheels; provides direct mud application and finish.,Alternative style for corners providing different flow characteristics.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Standard Corner Flusher,3.5” Standard,3.5SF,Hand-ground and quality checked; wheels for smooth glide; durable construction.,"Provides clean, feathered finish in corners.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Combo Corner Flusher,3” Combo,3CSF,Combo flusher merges features of standard and direct flushers; includes wheels for smooth glide.,Versatile flusher handling various corner profiles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Direct Corner Flusher,3” Direct,3DF,Direct flusher design with wheels; provides direct mud application and finish.,Alternative style for corners providing different flow characteristics.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Standard Corner Flusher,3” Standard,3SF,Hand-ground and quality checked; wheels for smooth glide; durable construction.,"Provides clean, feathered finish in corners.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Combo Corner Flusher,3” Wide Track Combo,3WTCSF,Combo flusher merges features of standard and direct flushers; includes wheels for smooth glide.,Versatile flusher handling various corner profiles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Direct Corner Flusher,3” Wide Track Direct,3WTDF,Direct flusher design with wheels; provides direct mud application and finish.,Alternative style for corners providing different flow characteristics.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Standard Corner Flusher,3” Wide Track Standard,3WTSF,Hand-ground and quality checked; wheels for smooth glide; durable construction.,"Provides clean, feathered finish in corners.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Direct Corner Flusher,4” Direct,4DF,Direct flusher design with wheels; provides direct mud application and finish.,Alternative style for corners providing different flow characteristics.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Flushers,Standard Corner Flusher,4” Standard,4SF,Hand-ground and quality checked; wheels for smooth glide; durable construction.,"Provides clean, feathered finish in corners.",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Columbia%20Corner%20Flushers%20are%20widely,5CSF
Columbia,Corner Tools,Bullnose Outside Corner Roller,Bullnose,CBNCR,Designed specifically for bullnose outside corner bead; pivot head adjusts to angles.,Dedicated roller for bullnose bead application.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Roller%20Wide%20Outside%20Corner%20Roller
Columbia,Corner Tools,Corner Cobra,Universal,CC,Pivoting head works on inside and outside angles from 85° to 180°; die-cast head with hardened stainless steel rollers; reduces drag and embeds tape quickly.,Versatile corner tool speeding up embedding of corner beads.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Corner%20Cobra%20is%20an,Description%20Corner%20Cobra%20Corner%20Roller
Columbia,Corner Tools,Standard Outside Corner Roller,Outside 90°,COBCR,Pivoting head adjusts to angles; designed for standard outside corner bead.,Provides smooth embedding of tape on outside corners.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Roller%20Wide%20Outside%20Corner%20Roller
Columbia,Corner Tools,European Outside Corner Roller,European,COBCRE,Special profile for European-style corner bead; pivoting head.,Addresses specialized corner bead profiles.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Roller%20Wide%20Outside%20Corner%20Roller
Columbia,Corner Tools,Wide Outside Corner Roller,Wide,COBCRW,Wider roller for broader outside corners; pivot head for angle adjustment.,Provides better support for wide outside bead.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=1,Roller%20Wide%20Outside%20Corner%20Roller
Columbia,Corner Tools,Corner Roller,Internal 90°,CR,Hardened steel/Delrin wheels reduce drag; used after the taper to embed tape in internal angles.,Essential roller for embedding tape in corners before finishing heads.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Corner%20Cobra%20is%20an,Description%20Corner%20Cobra%20Corner%20Roller
Columbia,Finishing Boxes,Flat Finishing Box,10”,10FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Finishing Boxes,Flat Finishing Box,12”,12FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Finishing Boxes,Flat Finishing Box,14”,14FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Finishing Boxes,Flat Finishing Box,5.5”,5.5FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Finishing Boxes,Flat Finishing Box,7”,7FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Finishing Boxes,Flat Finishing Box,8”,8FFB,Precision joint-compound metering; bead wheel protects axle; integrated door axle and pressure plate; hinged door; aluminum wheels with O-ring tires; 5-year warranty.,Core tool for applying base coat to seams; multiple sizes for different joint widths.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=the%20mud%20at%20all%20times,Box%2014%E2%80%9D%20Flat%20Finisher%20Box
Columbia,Handles,Flat Box Handle,3’ 180° Grip,3BH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,42” 180° Grip,42BH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,4’ 180° Grip,4BH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,5’ 180° Grip,5BH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,6’ 180° Grip,6BH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Columbia One Handle,Angle Head Adapter,AHA,"Universal handle system; works with nail spotters, angle heads, rollers and boxes; billet aluminum construction; ergonomic design.",Essential handle for versatile tool compatibility.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20One%20Handle%20is,One%20Handle%20Stubby%20Anglehead%20Adapter
Columbia,Handles,Columbia One Handle,Fixed Handle,C1H,"Universal handle system; works with nail spotters, angle heads, rollers and boxes; billet aluminum construction; ergonomic design.",Essential handle for versatile tool compatibility.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20One%20Handle%20is,One%20Handle%20Stubby%20Anglehead%20Adapter
Columbia,Handles,Columbia One Handle,Extendible 3-5’,C1HEXT,"Universal handle system; works with nail spotters, angle heads, rollers and boxes; billet aluminum construction; ergonomic design.",Essential handle for versatile tool compatibility.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20One%20Handle%20is,One%20Handle%20Stubby%20Anglehead%20Adapter
Columbia,Handles,Columbia One Handle,Stubby Handle,C1HS,"Universal handle system; works with nail spotters, angle heads, rollers and boxes; billet aluminum construction; ergonomic design.",Essential handle for versatile tool compatibility.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20One%20Handle%20is,One%20Handle%20Stubby%20Anglehead%20Adapter
Columbia,Handles,Columbia One Handle,Long Extendible 4-8’,CHXL,"Universal handle system; works with nail spotters, angle heads, rollers and boxes; billet aluminum construction; ergonomic design.",Essential handle for versatile tool compatibility.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20One%20Handle%20is,One%20Handle%20Stubby%20Anglehead%20Adapter
Columbia,Handles,Flat Box Handle,Closet Monster,CMH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,Matrix Handle 40-60”,MH,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,Matrix Handle 56-76”,MHL,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Flat Box Handle,Matrix Handle 29-39”,MHS,180° grip or Matrix design; billet aluminum construction; mechanical braking; different lengths for various working heights.,Provides control and reach for flat boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FLAT%20BOX%20HANDLES%20The%20Columbia,76%E2%80%9D
Columbia,Handles,Twist Lock Handle w PHA,Twist Lock,TL-3-8,Twist lock handle for sander with PHA; extends for different heights.,Convenient adjustable handle for sanding applications.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20Phantom%20Sander%20is,Twist%20Lock%20Handle%20w%20PHA
Columbia,High Capacity Boxes,Fat Boy Flat Box,10”,10FBB,Fat Boy design holds ~40% more compound than standard boxes; billet construction; hinged door; bead wheel axle; reduces trips to pump.,High-capacity box for longer runs between refills.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=8FBB%2010FBB%2012FBB%20Description%205,12%E2%80%9D%20Fat%20Boy%20Flat%20Box
Columbia,High Capacity Boxes,Fat Boy Flat Box,12”,12FBB,Fat Boy design holds ~40% more compound than standard boxes; billet construction; hinged door; bead wheel axle; reduces trips to pump.,High-capacity box for longer runs between refills.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=8FBB%2010FBB%2012FBB%20Description%205,12%E2%80%9D%20Fat%20Boy%20Flat%20Box
